# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:50:50    828 mW   2132 mW      0 mW   1020 mW   1038 mW   1155 mW     73 mW    330 mW      2 mW      0 mW      0 mW
  21:50:51    876 mW   2628 mW      0 mW   1145 mW   1198 mW   1344 mW     75 mW    346 mW      2 mW      2 mW      0 mW
  21:50:51   1582 mW   4381 mW      0 mW   1357 mW   1624 mW   2099 mW    119 mW    323 mW      0 mW      2 mW      0 mW
  21:50:52   1359 mW   4762 mW      0 mW   1420 mW   1705 mW   2146 mW    146 mW    330 mW      2 mW      2 mW      0 mW
  21:50:52   1661 mW   4923 mW      0 mW   1412 mW   1696 mW   2138 mW    154 mW    329 mW      2 mW      2 mW      0 mW
  21:50:53   1233 mW   4704 mW      0 mW   1376 mW   1698 mW   2132 mW    114 mW    329 mW      2 mW      2 mW      0 mW
  21:50:53   1865 mW   4897 mW      0 mW   1401 mW   1681 mW   2125 mW    159 mW    327 mW      2 mW      2 mW      0 mW
  21:50:53   1090 mW   4127 mW      0 mW   1300 mW   1539 mW   1989 mW    121 mW    329 mW      2 mW      0 mW      0 mW
  21:50:54    919 mW   2564 mW      0 mW   1084 mW   1230 mW   1356 mW     75 mW    316 mW      0 mW      2 mW      0 mW
  21:50:54    767 mW   2210 mW      0 mW    984 mW   1037 mW   1103 mW     68 mW    327 mW      2 mW      2 mW      0 mW
  21:50:55    847 mW   2572 mW      0 mW   1226 mW   1274 mW   1573 mW     76 mW    335 mW      2 mW      2 mW      0 mW
  21:50:55    824 mW   2398 mW      0 mW   1112 mW   1172 mW   1389 mW     72 mW    315 mW      2 mW      2 mW      0 mW
  21:50:56    901 mW   4205 mW      0 mW   1347 mW   1431 mW   1789 mW     79 mW    351 mW      2 mW      2 mW      0 mW
  21:50:56    737 mW   2447 mW      0 mW   1018 mW   1150 mW   1304 mW     66 mW    315 mW      2 mW      2 mW      0 mW
  21:50:56    854 mW   2495 mW      0 mW   1078 mW   1060 mW   1216 mW     74 mW    329 mW      2 mW      0 mW      0 mW
  21:50:57    846 mW   2529 mW      0 mW   1115 mW   1130 mW   1315 mW     74 mW    329 mW      2 mW      2 mW      0 mW
  21:50:57    838 mW   2644 mW      0 mW   1145 mW   1180 mW   1400 mW     73 mW    324 mW      0 mW      2 mW      0 mW
  21:50:58    758 mW   2598 mW      0 mW   1170 mW   1220 mW   1446 mW     68 mW    337 mW      2 mW      2 mW      0 mW
  21:50:58    829 mW   2397 mW      0 mW   1107 mW   1136 mW   1375 mW     71 mW    321 mW      2 mW      2 mW      0 mW
  21:50:59    907 mW   2445 mW      0 mW   1162 mW   1171 mW   1368 mW     80 mW    344 mW      2 mW      2 mW      0 mW
  21:50:59    868 mW   2145 mW      0 mW   1018 mW   1094 mW   1177 mW     74 mW    318 mW      2 mW      2 mW      0 mW
  21:51:00    832 mW   2083 mW      0 mW   1008 mW   1064 mW   1155 mW     71 mW    327 mW      2 mW      2 mW      0 mW
  21:51:00    875 mW   2134 mW      0 mW   1059 mW   1084 mW   1199 mW     78 mW    339 mW      2 mW      2 mW      0 mW
  21:51:00    936 mW   2156 mW      0 mW   1049 mW   1056 mW   1123 mW     77 mW    337 mW      2 mW      0 mW      0 mW
  21:51:01   1463 mW   3855 mW      0 mW   1319 mW   1569 mW   1989 mW    119 mW    333 mW      2 mW      2 mW      0 mW
  21:51:01   1344 mW   4358 mW      0 mW   1308 mW   1602 mW   2077 mW    121 mW    327 mW      0 mW      2 mW      0 mW
  21:51:02   1289 mW   4364 mW      0 mW   1299 mW   1594 mW   2079 mW    136 mW    328 mW      2 mW      2 mW      0 mW
  21:51:02   1654 mW   4262 mW      0 mW   1305 mW   1579 mW   2058 mW    128 mW    323 mW      2 mW      2 mW      0 mW
  21:51:02   1593 mW   4426 mW      0 mW   1346 mW   1639 mW   2135 mW    153 mW    336 mW      2 mW      2 mW      0 mW
  21:51:03   1465 mW   4529 mW      0 mW   1365 mW   1645 mW   2127 mW    143 mW    331 mW      2 mW      0 mW      0 mW
