# IOReport telemetry  interval=100ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:46:38    908 mW   3400 mW      0 mW   1242 mW   1436 mW   1661 mW     79 mW    329 mW      0 mW      4 mW      0 mW
  21:46:38    902 mW   3249 mW      0 mW   1226 mW   1434 mW   1659 mW     78 mW    326 mW      4 mW      0 mW      0 mW
  21:46:38    927 mW   3349 mW      0 mW   1274 mW   1465 mW   1738 mW     79 mW    326 mW      0 mW      4 mW      0 mW
  21:46:38    822 mW   3251 mW      0 mW   1229 mW   1439 mW   1681 mW     75 mW    333 mW      4 mW      0 mW      0 mW
  21:46:39    781 mW   3128 mW      0 mW   1169 mW   1317 mW   1622 mW     67 mW    327 mW      0 mW      4 mW      0 mW
  21:46:39    909 mW   3832 mW      0 mW   1295 mW   1524 mW   1780 mW     75 mW    331 mW      4 mW      0 mW      0 mW
  21:46:39    878 mW   4570 mW      0 mW   1259 mW   1508 mW   1859 mW     78 mW    324 mW      0 mW      4 mW      0 mW
  21:46:39    925 mW   3070 mW      0 mW   1165 mW   1360 mW   1599 mW     77 mW    324 mW      4 mW      4 mW      0 mW
  21:46:40    905 mW   2904 mW      0 mW   1121 mW   1318 mW   1414 mW     77 mW    330 mW      0 mW      0 mW      0 mW
  21:46:40    923 mW   3272 mW      0 mW   1263 mW   1566 mW   1740 mW     83 mW    333 mW      4 mW      4 mW      0 mW
  21:46:40    774 mW   4100 mW      0 mW   1173 mW   1333 mW   1568 mW     67 mW    329 mW      4 mW      0 mW      0 mW
  21:46:41    864 mW   3351 mW      0 mW   1159 mW   1298 mW   1514 mW     70 mW    323 mW      0 mW      4 mW      0 mW
  21:46:41    960 mW   3095 mW      0 mW   1202 mW   1365 mW   1651 mW     82 mW    334 mW      4 mW      0 mW      0 mW
