# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:12:30    267 mW   1606 mW      0 mW    436 mW    961 mW    810 mW     21 mW    335 mW      2 mW      0 mW      0 mW
  22:12:30    267 mW   1879 mW      0 mW    540 mW   1016 mW    948 mW     21 mW    335 mW      2 mW      2 mW      0 mW
  22:12:30    260 mW   1866 mW      0 mW    482 mW    970 mW    854 mW     19 mW    325 mW      0 mW      2 mW      0 mW
  22:12:31    310 mW   1870 mW      0 mW    494 mW   1036 mW    795 mW     23 mW    327 mW      2 mW      2 mW      0 mW
  22:12:31    382 mW   1973 mW      0 mW    561 mW   1175 mW    964 mW     28 mW    326 mW      2 mW      2 mW      0 mW
  22:12:32    368 mW   1823 mW      0 mW    491 mW   1134 mW    793 mW     30 mW    325 mW      2 mW      2 mW      0 mW
  22:12:32    411 mW   1970 mW      0 mW    524 mW   1112 mW    847 mW     31 mW    314 mW      2 mW      2 mW      0 mW
  22:12:33    491 mW   1856 mW      0 mW    487 mW   1067 mW    873 mW     49 mW    344 mW      2 mW      0 mW      0 mW
  22:12:33    461 mW   2166 mW      0 mW    581 mW   1144 mW   1077 mW     41 mW    334 mW      2 mW      2 mW      0 mW
  22:12:34    367 mW   1853 mW      0 mW    499 mW   1071 mW    976 mW     29 mW    307 mW      0 mW      2 mW      0 mW
  22:12:34    398 mW   1938 mW      0 mW    542 mW   1174 mW    980 mW     28 mW    346 mW      2 mW      2 mW      0 mW
  22:12:34    381 mW   2076 mW      0 mW    555 mW   1132 mW   1004 mW     28 mW    323 mW      2 mW      2 mW      0 mW
  22:12:35    406 mW   1740 mW      0 mW    425 mW   1074 mW    719 mW     33 mW    327 mW      2 mW      2 mW      0 mW
  22:12:35    423 mW   2058 mW      0 mW    548 mW   1125 mW    971 mW     37 mW    327 mW      2 mW      2 mW      0 mW
  22:12:36    368 mW   1825 mW      0 mW    510 mW   1099 mW    986 mW     28 mW    322 mW      2 mW      0 mW      0 mW
  22:12:36    401 mW   1783 mW      0 mW    500 mW   1073 mW    910 mW     29 mW    317 mW      2 mW      2 mW      0 mW
  22:12:37    482 mW   1782 mW      0 mW    469 mW   1052 mW    814 mW     46 mW    340 mW      0 mW      2 mW      0 mW
  22:12:37    484 mW   1899 mW      0 mW    543 mW   1123 mW   1004 mW     40 mW    333 mW      2 mW      2 mW      0 mW
  22:12:37    443 mW   1926 mW      0 mW    553 mW   1100 mW   1030 mW     40 mW    322 mW      2 mW      2 mW      0 mW
  22:12:38    330 mW   1738 mW      0 mW    442 mW   1126 mW    720 mW     26 mW    329 mW      2 mW      2 mW      0 mW
  22:12:38    388 mW   1930 mW      0 mW    530 mW   1130 mW    975 mW     30 mW    326 mW      2 mW      2 mW      0 mW
  22:12:39    448 mW   1813 mW      0 mW    496 mW   1069 mW    934 mW     37 mW    326 mW      2 mW      0 mW      0 mW
  22:12:39    537 mW   1919 mW      0 mW    543 mW   1172 mW   1013 mW     47 mW    328 mW      2 mW      2 mW      0 mW
  22:12:40    592 mW   1927 mW      0 mW    540 mW   1205 mW   1057 mW     58 mW    327 mW      0 mW      2 mW      0 mW
  22:12:40    518 mW   1814 mW      0 mW    469 mW   1158 mW    817 mW     51 mW    322 mW      2 mW      2 mW      0 mW
  22:12:40    594 mW   1949 mW      0 mW    554 mW   1199 mW   1049 mW     59 mW    332 mW      2 mW      2 mW      0 mW
  22:12:41    486 mW   1968 mW      0 mW    495 mW   1135 mW    875 mW     42 mW    325 mW      2 mW      2 mW      0 mW
  22:12:41    532 mW   1896 mW      0 mW    492 mW   1166 mW    855 mW     40 mW    327 mW      2 mW      2 mW      0 mW
  22:12:42    474 mW   1690 mW      0 mW    449 mW   1164 mW    805 mW     35 mW    328 mW      2 mW      0 mW      0 mW
  22:12:42    547 mW   1923 mW      0 mW    537 mW   1197 mW    985 mW     45 mW    328 mW      2 mW      2 mW      0 mW
  22:12:42    492 mW   1881 mW      0 mW    479 mW   1177 mW    833 mW     38 mW    327 mW      0 mW      2 mW      0 mW
  22:12:43    473 mW   1895 mW      0 mW    537 mW   1218 mW    874 mW     33 mW    326 mW      2 mW      2 mW      0 mW
  22:12:43    554 mW   1876 mW      0 mW    529 mW   1164 mW   1032 mW     52 mW    330 mW      2 mW      2 mW      0 mW
  22:12:44    489 mW   1839 mW      0 mW    488 mW   1181 mW    831 mW     38 mW    326 mW      2 mW      2 mW      0 mW
  22:12:44    543 mW   2089 mW      0 mW    581 mW   1212 mW   1048 mW     44 mW    327 mW      2 mW      2 mW      0 mW
  22:12:45    506 mW   1940 mW      0 mW    510 mW   1223 mW    827 mW     41 mW    327 mW      2 mW      0 mW      0 mW
  22:12:45    496 mW   1987 mW      0 mW    531 mW   1176 mW    967 mW     37 mW    324 mW      2 mW      2 mW      0 mW
  22:12:45    491 mW   4692 mW      0 mW    735 mW   1368 mW   1171 mW     34 mW    318 mW      0 mW      2 mW      0 mW
  22:12:46    522 mW   1912 mW      0 mW    553 mW   1232 mW   1086 mW     42 mW    341 mW      2 mW      2 mW      0 mW
  22:12:46    533 mW   2070 mW      0 mW    544 mW   1191 mW   1034 mW     47 mW    323 mW      2 mW      2 mW      0 mW
  22:12:47    526 mW   1855 mW      0 mW    491 mW   1173 mW    943 mW     40 mW    326 mW      2 mW      2 mW      0 mW
  22:12:47   2127 mW   1934 mW      0 mW    740 mW   1346 mW   1791 mW    145 mW    328 mW      2 mW      2 mW      0 mW
  22:12:48   1936 mW   1661 mW      0 mW    656 mW   1249 mW   1733 mW    138 mW    314 mW      2 mW      0 mW      0 mW
  22:12:48   2158 mW   1860 mW      0 mW    728 mW   1369 mW   1907 mW    154 mW    346 mW      2 mW      2 mW      0 mW
  22:12:48   2048 mW   1826 mW      0 mW    680 mW   1283 mW   1800 mW    144 mW    326 mW      0 mW      2 mW      0 mW
  22:12:49   2030 mW   1923 mW      0 mW    694 mW   1311 mW   1827 mW    146 mW    332 mW      2 mW      2 mW      0 mW
