# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:05:07    932 mW   5214 mW      0 mW    644 mW   1294 mW   1744 mW     75 mW    321 mW      2 mW      2 mW      0 mW
  15:05:07   1088 mW   5978 mW      0 mW    741 mW   1521 mW   1788 mW     87 mW    321 mW      2 mW      2 mW      0 mW
  15:05:08   1074 mW   5686 mW      0 mW    701 mW   1480 mW   1767 mW     92 mW    319 mW      0 mW      2 mW      0 mW
  15:05:08    609 mW   5012 mW      0 mW    650 mW   1309 mW   1580 mW     62 mW    315 mW      2 mW      2 mW      0 mW
  15:05:09    132 mW   1660 mW      0 mW    361 mW    641 mW    742 mW     12 mW    314 mW      2 mW      0 mW      0 mW
  15:05:09    144 mW   1519 mW      0 mW    367 mW    666 mW    759 mW      9 mW    325 mW      2 mW      2 mW      0 mW
  15:05:09    824 mW   4667 mW      0 mW    692 mW   1296 mW   1607 mW     63 mW    335 mW      2 mW      2 mW      0 mW
  15:05:10   1104 mW   5861 mW      0 mW    630 mW   1258 mW   1654 mW     97 mW    321 mW      2 mW      2 mW      0 mW
  15:05:10    830 mW   5298 mW      0 mW    642 mW   1272 mW   1610 mW     71 mW    324 mW      2 mW      2 mW      0 mW
  15:05:11   1156 mW   5869 mW      0 mW    641 mW   1272 mW   1649 mW     97 mW    322 mW      0 mW      2 mW      0 mW
  15:05:11    807 mW   5440 mW      0 mW    675 mW   1280 mW   1620 mW     72 mW    318 mW      2 mW      2 mW      0 mW
  15:05:12    886 mW   4900 mW      0 mW    642 mW   1280 mW   1630 mW     73 mW    326 mW      2 mW      0 mW      0 mW
  15:05:12   1306 mW   6148 mW      0 mW    628 mW   1249 mW   1664 mW    109 mW    319 mW      2 mW      2 mW      0 mW
  15:05:12    880 mW   5307 mW      0 mW    649 mW   1276 mW   1620 mW     75 mW    325 mW      2 mW      2 mW      0 mW
  15:05:13   1184 mW   5888 mW      0 mW    623 mW   1265 mW   1662 mW    102 mW    321 mW      0 mW      2 mW      0 mW
  15:05:13    782 mW   5129 mW      0 mW    632 mW   1262 mW   1586 mW     65 mW    322 mW      2 mW      2 mW      0 mW
  15:05:14   1181 mW   5758 mW      0 mW    607 mW   1247 mW   1645 mW     99 mW    320 mW      2 mW      0 mW      0 mW
  15:05:14    876 mW   5222 mW      0 mW    613 mW   1257 mW   1585 mW     77 mW    321 mW      2 mW      2 mW      0 mW
  15:05:14    294 mW   2978 mW      0 mW    430 mW    781 mW    910 mW     28 mW    310 mW      2 mW      2 mW      0 mW
  15:05:15    160 mW   1459 mW      0 mW    375 mW    702 mW    843 mW     12 mW    324 mW      2 mW      2 mW      0 mW
  15:05:15    261 mW   2283 mW      0 mW    524 mW    908 mW   1116 mW     22 mW    335 mW      2 mW      2 mW      0 mW
  15:05:16    582 mW   5231 mW      0 mW    591 mW   1212 mW   1511 mW     64 mW    324 mW      0 mW      2 mW      0 mW
  15:05:16    533 mW   5345 mW      0 mW    625 mW   1244 mW   1534 mW     63 mW    320 mW      2 mW      0 mW      0 mW
  15:05:17    642 mW   5802 mW      0 mW    604 mW   1238 mW   1575 mW     81 mW    325 mW      2 mW      2 mW      0 mW
  15:05:17    630 mW   5851 mW      0 mW    582 mW   1207 mW   1560 mW     85 mW    319 mW      2 mW      2 mW      0 mW
  15:05:17    559 mW   5421 mW      0 mW    608 mW   1242 mW   1519 mW     68 mW    323 mW      2 mW      2 mW      0 mW
  15:05:18    696 mW   6030 mW      0 mW    578 mW   1198 mW   1579 mW     93 mW    322 mW      0 mW      2 mW      0 mW
  15:05:18    519 mW   5487 mW      0 mW    603 mW   1234 mW   1533 mW     71 mW    324 mW      2 mW      2 mW      0 mW
  15:05:19    720 mW   5750 mW      0 mW    580 mW   1204 mW   1571 mW     80 mW    320 mW      2 mW      0 mW      0 mW
  15:05:19    540 mW   5525 mW      0 mW    575 mW   1215 mW   1522 mW     72 mW    321 mW      2 mW      2 mW      0 mW
  15:05:19    727 mW   5927 mW      0 mW    614 mW   1236 mW   1578 mW     80 mW    320 mW      2 mW      2 mW      0 mW
  15:05:20    635 mW   7299 mW      0 mW    773 mW   1332 mW   1743 mW     73 mW    326 mW      2 mW      2 mW      0 mW
  15:05:20    383 mW   4173 mW      0 mW    522 mW   1083 mW   1291 mW     40 mW    312 mW      0 mW      2 mW      0 mW
  15:05:21    143 mW   1606 mW      0 mW    381 mW    662 mW    739 mW     12 mW    321 mW      2 mW      2 mW      0 mW
  15:05:21    158 mW   1599 mW      0 mW    452 mW    771 mW    937 mW     12 mW    319 mW      2 mW      0 mW      0 mW
  15:05:22    158 mW   1522 mW      0 mW    407 mW    742 mW    893 mW     14 mW    324 mW      2 mW      2 mW      0 mW
  15:05:22    153 mW   1461 mW      0 mW    365 mW    635 mW    751 mW     11 mW    317 mW      2 mW      2 mW      0 mW
  15:05:22    157 mW   1535 mW      0 mW    402 mW    728 mW    835 mW     11 mW    326 mW      2 mW      2 mW      0 mW
  15:05:23    155 mW   1474 mW      0 mW    375 mW    670 mW    818 mW     12 mW    322 mW      2 mW      2 mW      0 mW
