sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
92,0.1,130174109687875,130174110401583,130174110416583,15000,93125,19167,833125,945417
93,0.1,130174215793375,130174216248458,130174216258041,9583,42417,11333,576333,630083
94,0.1,130174320266041,130174320888916,130174320903208,14292,79167,17375,737250,833792
95,0.1,130174425122625,130174425858208,130174425872791,14583,95041,22417,825167,942625
96,0.1,130174531300333,130174531927791,130174531942583,14792,100958,19959,728625,849542
97,0.1,130174637273416,130174637707041,130174637718583,11542,41208,12542,525583,579333
98,0.1,130174740391291,130174741290541,130174741304791,14250,105000,24667,982041,1111708
99,0.1,130174846663375,130174847445583,130174847461541,15958,112584,26291,849584,988459
100,0.1,130174952925625,130174953889416,130174953902750,13334,116083,22333,1057834,1196250
101,0.1,130175059306750,130175059540833,130175059554541,13708,72708,16917,352042,441667
102,0.1,130175164952375,130175165463083,130175165476208,13125,59792,12458,648167,720417
103,0.1,130175270285500,130175270900291,130175270914958,14667,88958,20250,685084,794292
104,0.1,130175376290458,130175376668583,130175376681000,12417,68042,14250,444500,526792
105,0.1,130175482002583,130175482568541,130175482579791,11250,61083,13625,684334,759042
106,0.1,130175587980416,130175588685375,130175588699166,13791,106250,23291,774334,903875
107,0.1,130175691892500,130175692506291,130175692519291,13000,106708,17459,692125,816292
108,0.1,130175793008791,130175794760250,130175794772083,11833,106333,27042,1808958,1942333
109,0.1,130175900170416,130175901015916,130175901035625,19709,104208,23625,956542,1084375
110,0.1,130176006503625,130176007246291,130176007260708,14417,109333,37250,809083,955666
111,0.1,130176108714166,130176109161458,130176109173083,11625,46333,11250,548167,605750
112,0.1,130176214461208,130176215224833,130176215238041,13208,72833,18500,850208,941541
113,0.1,130176320053875,130176320830916,130176320846708,15792,96500,62458,822208,981166
114,0.1,130176425453833,130176426235416,130176426249875,14459,113416,28875,855500,997791
115,0.1,130176528683000,130176529501041,130176529516041,15000,109833,31125,890625,1031583
116,0.1,130176634946500,130176635705875,130176635719958,14083,108417,24750,839958,973125
117,0.1,130176741142041,130176741887833,130176741903791,15958,98750,29709,838583,967042
118,0.1,130176847337750,130176848083500,130176848098125,14625,101000,24167,828666,953833
119,0.1,130176953440791,130176953979458,130176953991041,11583,52166,16917,646375,715458
120,0.1,130177058744541,130177059446875,130177059460250,13375,94417,19416,769667,883500
121,0.1,130177161912041,130177162453833,130177162465541,11708,49542,12750,649333,711625
122,0.1,130177264721250,130177265328625,130177265342291,13666,82416,27834,677916,788166
