sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
95,0.0,130161531383125,130161531472208,130161531480291,8083,10375,3250,230708,244333
96,0.0,130161531641083,130161531726166,130161531734208,8042,8166,3292,154458,165916
97,0.0,130161531826458,130161531920708,130161531928750,8042,12125,4334,204791,221250
98,0.0,130161532064250,130161532153333,130161532161375,8042,9500,3500,170458,183458
99,0.0,130161532278833,130161532377000,130161532385041,8041,17042,5375,171291,193708
100,0.0,130161532497416,130161532587125,130161532595166,8041,9500,4083,232625,246208
101,0.0,130161532757583,130161532850125,130161532858166,8041,9416,3292,188375,201083
102,0.0,130161532972958,130161533060500,130161533068541,8041,8875,3291,190917,203083
103,0.0,130161533194958,130161533288708,130161533296750,8042,13625,3500,173541,190666
104,0.0,130161533399166,130161533487750,130161533495791,8041,8750,3458,235459,247667
105,0.0,130161533659333,130161533746750,130161533754791,8041,8125,3291,176042,187458
106,0.0,130161533860958,130161533949500,130161533957500,8000,8916,3500,172000,184416
107,0.0,130161534057625,130161534144958,130161534153000,8042,8042,3333,178542,189917
108,0.0,130161534259625,130161534356250,130161534364375,8125,7917,3083,184334,195334
109,0.0,130161534468458,130161534571250,130161534579333,8083,8041,3084,209458,220583
110,0.0,130161534700833,130161534803083,130161534811416,8333,7708,3000,189084,199792
111,0.0,130161534913833,130161535012583,130161535020708,8125,7791,3625,191792,203208
112,0.0,130161535133708,130161535239041,130161535247166,8125,10667,3833,202084,216584
113,0.0,130161535364083,130161535465166,130161535473291,8125,9291,3542,190292,203125
114,0.0,130161535580666,130161535679041,130161535687208,8167,8500,3542,199833,211875
115,0.0,130161535804875,130161535901083,130161535909208,8125,7917,3125,180208,191250
116,0.0,130161536010375,130161536112583,130161536120875,8292,9250,3708,189375,202333
117,0.0,130161536228958,130161536324583,130161536336166,11583,8083,3375,188958,200416
118,0.0,130161536441250,130161536534750,130161536542916,8166,7709,3166,229625,240500
119,0.0,130161536693291,130161536789416,130161536797541,8125,7625,3084,233833,244542
120,0.0,130161536955583,130161537059166,130161537067500,8334,8459,3458,249083,261000
121,0.0,130161537229416,130161537330208,130161537338500,8292,7667,3291,188625,199583
122,0.0,130161537440625,130161537536625,130161537544666,8041,7583,3167,217375,228125
123,0.0,130161537680416,130161537774083,130161537782208,8125,7500,3083,186792,197375
124,0.0,130161537889416,130161537994000,130161538002083,8083,10250,3875,203958,218083
125,0.0,130161538122875,130161538267250,130161538275458,8208,47459,4208,190500,242167
126,0.0,130161538380625,130161538471708,130161538479958,8250,7792,3166,166667,177625
127,0.0,130161538570041,130161538663666,130161538671750,8084,7542,3000,173541,184083
128,0.0,130161538765833,130161538869000,130161538877125,8125,7458,3084,185625,196167
129,0.0,130161538981166,130161539082500,130161539090750,8250,7625,3083,194625,205333
130,0.0,130161539198750,130161539298375,130161539306500,8125,7667,3000,175916,186583
131,0.0,130161539397041,130161539495250,130161539503291,8041,7500,3042,238041,248583
132,0.0,130161539656916,130161539755916,130161539764041,8125,7417,3041,188667,199125
133,0.0,130161539867833,130161539964625,130161539972750,8125,7500,3416,182750,193666
134,0.0,130161540073000,130161540174250,130161540182375,8125,7459,3000,189833,200292
135,0.0,130161540287166,130161540382750,130161540394625,11875,7625,3167,195958,206750
136,0.0,130161540505583,130161540592916,130161540600958,8042,7708,3208,170000,180916
137,0.0,130161540699208,130161540788291,130161540796291,8000,7958,3292,172083,183333
138,0.0,130161540894166,130161540980708,130161540988875,8167,7375,2917,161958,172250
139,0.0,130161541077958,130161541163750,130161541171750,8000,7541,3042,168833,179416
140,0.0,130161541269041,130161541358916,130161541367000,8084,11417,2791,223334,237542
141,0.0,130161541518208,130161541618125,130161541626208,8083,7416,2917,237292,247625
142,0.0,130161541777208,130161541883291,130161541891500,8209,7541,2917,213750,224208
143,0.0,130161542015000,130161542107583,130161542115583,8000,8375,3333,231542,243250
144,0.0,130161542276541,130161542377291,130161542385416,8125,7958,2958,198209,209125
145,0.0,130161542505583,130161542594500,130161542602541,8041,9250,3416,180459,193125
146,0.0,130161542711541,130161542798250,130161542806250,8000,8292,2833,198375,209500
147,0.0,130161542933291,130161543020041,130161543028083,8042,7750,2875,178958,189583
148,0.0,130161543134750,130161543229416,130161543237500,8084,7667,2875,195292,205834
149,0.0,130161543356791,130161543457916,130161543466000,8084,8167,3125,260875,272167
150,0.0,130161543648666,130161543751000,130161543759083,8083,8083,3250,206667,218000
151,0.0,130161543887791,130161543985500,130161543993500,8000,15000,19083,161500,195583
152,0.0,130161544097416,130161544186208,130161544194208,8000,8375,3250,177125,188750
153,0.0,130161544301875,130161544394541,130161544402583,8042,7958,3167,194917,206042
154,0.0,130161544530958,130161544626458,130161544634500,8042,10667,4625,183541,198833
155,0.0,130161544745791,130161544838958,130161544846916,7958,9375,3708,184042,197125
156,0.0,130161544957208,130161545054750,130161545062916,8166,11000,3333,194167,208500
157,0.0,130161545184666,130161545290875,130161545299041,8166,10250,4500,203958,218708
158,0.0,130161545418208,130161545521583,130161545529666,8083,8334,3375,206125,217834
159,0.0,130161545649625,130161545744500,130161545752500,8000,8667,3083,192000,203750
160,0.0,130161545867750,130161545965541,130161545973708,8167,7792,3417,186541,197750
161,0.0,130161546079625,130161546181791,130161546189958,8167,8000,3041,190000,201041
162,0.0,130161546294000,130161546394583,130161546402666,8083,8750,3083,250292,262125
163,0.0,130161546571708,130161546676875,130161546684958,8083,8958,3500,253917,266375
