sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
104,1.0,4397102804500,4397103330166,4397103339000,8834,49875,15875,594625,660375
105,1.0,4398108693958,4398109405333,4398109414333,9000,135333,30792,659500,825625
106,1.0,4399114778458,4399115469708,4399115490708,21000,150375,36458,740542,927375
107,1.0,4400120920500,4400121531458,4400121541041,9583,70250,17250,673500,761000
108,1.0,4401126818833,4401126982500,4401126995666,13166,53792,12833,218875,285500
109,1.0,4402132277416,4402132453833,4402132461791,7958,58750,15417,195125,269292
110,1.0,4403136975958,4403137614791,4403137623708,8917,74250,22875,697083,794208
111,1.0,4404142626708,4404143218875,4404143229083,10208,76917,21583,653250,751750
112,1.0,4405144312625,4405144964625,4405144974125,9500,132792,30000,597125,759917
113,1.0,4406149855333,4406150330000,4406150339000,9000,47166,11042,526917,585125
114,1.0,4407155698041,4407156593041,4407156602000,8959,150167,64458,860625,1075250
115,1.0,4408162129041,4408163022750,4408163032041,9291,138041,37375,877792,1053208
116,1.0,4409164399125,4409165012166,4409165036958,24792,114542,28000,643500,786042
117,1.0,4410170422666,4410171047500,4410171056333,8833,67166,18334,700291,785791
118,1.0,4411175580458,4411176157208,4411176166375,9167,72333,18750,619084,710167
119,1.0,4412180889958,4412181102166,4412181110416,8250,75917,21250,206750,303917
120,1.0,4413181789458,4413181960541,4413181972625,12084,57500,15250,216709,289459
121,1.0,4414183793750,4414184450125,4414184458750,8625,123375,32375,632500,788250
122,1.0,4415189807041,4415189965125,4415189974708,9583,59625,12084,202500,274209
123,1.0,4416191679958,4416192269416,4416192278250,8834,77333,20917,619708,717958
124,1.0,4417195826208,4417196425458,4417196434541,9083,68875,15334,639833,724042
125,1.0,4418199536958,4418199899375,4418199908166,8791,141416,32625,298375,472416
126,1.0,4419202690541,4419203380333,4419203389416,9083,158625,36708,633709,829042
127,1.0,4420207923333,4420208633333,4420208643041,9708,148334,41291,660667,850292
128,1.0,4421209457875,4421210122708,4421210132208,9500,120834,27958,625750,774542
129,1.0,4422215511750,4422215925791,4422215936583,10792,208625,33125,383041,624791
130,1.0,4423218280583,4423218818291,4423218827583,9292,70542,21250,575541,667333
131,1.0,4424223839708,4424224043166,4424224051625,8459,78000,20750,200292,299042
132,1.0,4425229389375,4425230142250,4425230150708,8458,141625,37750,713542,892917
133,1.0,4426232985833,4426233310208,4426233318916,8708,131083,30042,259083,420208
134,1.0,4427238168166,4427238801708,4427238810958,9250,83916,16542,688125,788583
135,1.0,4428240257375,4428240436125,4428240444583,8458,56500,15666,196584,268750
136,1.0,4429245405375,4429246099625,4429246108750,9125,113417,26208,717500,857125
137,1.0,4430249846916,4430250160625,4430250169083,8458,104042,19416,292459,415917
138,1.0,4431252582791,4431253079166,4431253088416,9250,60542,18083,601083,679708
139,1.0,4432258048708,4432258472000,4432258480541,8541,59958,15500,429000,504458
140,1.0,4433261836583,4433262483625,4433262492708,9083,80875,18208,706542,805625
141,1.0,4434264227791,4434264853000,4434264862166,9166,76375,19250,687875,783500
142,1.0,4435270165583,4435270577291,4435270585833,8542,34208,8292,472041,514541
143,1.0,4436275660583,4436276338541,4436276348375,9834,147000,32209,617541,796750
144,1.0,4437279487708,4437281119916,4437281128666,8750,771250,187334,833000,1791584
145,1.0,4438283523958,4438284159750,4438284168291,8541,136041,35292,582250,753583
146,1.0,4439286790250,4439287453333,4439287462541,9208,84750,34041,649500,768291
147,1.0,4440292829333,4440293460000,4440293470250,10250,121167,24791,608792,754750
148,1.0,4441298814250,4441299480291,4441299498125,17834,76708,20500,775125,872333
149,1.0,4442306306125,4442310784541,4442310792916,8375,139291,33709,4397541,4570541
150,1.0,4443313645916,4443314436583,4443314446083,9500,130250,38250,768291,936791
151,1.0,4444317364125,4444317795250,4444317803916,8666,54667,14083,477959,546709
152,1.0,4445323190250,4445323553416,4445323562583,9167,145167,33333,270458,448958
153,1.0,4446325468125,4446325949375,4446325958208,8833,56917,17208,553875,628000
154,1.0,4447331394291,4447331704000,4447331712333,8333,184833,17584,184583,387000
155,1.0,4448334357958,4448334924708,4448334934958,10250,76000,21666,630542,728208
156,1.0,4449340011541,4449340283875,4449340293375,9500,102916,16625,263250,382791
157,1.0,4450345658375,4450346272708,4450346281958,9250,77833,21875,655833,755541
158,1.0,4451350297250,4451350886791,4451350897458,10667,78584,19708,657250,755542
159,1.0,4452353372333,4452354115416,4452354124666,9250,134209,73125,686833,894167
160,1.0,4453357895291,4453358460208,4453358469166,8958,94333,40917,563292,698542
161,1.0,4454359794625,4454360126416,4454360135000,8584,93125,35708,300167,429000
162,1.0,4455365510458,4455365895041,4455365903041,8000,177959,32875,253416,464250
163,1.0,4456367330833,4456367858750,4456367868041,9291,69708,16334,578083,664125
164,1.0,4457373142666,4457373330458,4457373339208,8750,58958,15584,275708,350250
165,1.0,4458374817791,4458375068083,4458375077250,9167,84584,21333,262083,368000
166,1.0,4459380374916,4459380987250,4459380996583,9333,75000,18125,657584,750709
167,1.0,4460382030375,4460382863541,4460382888541,25000,144833,38000,834417,1017250
168,1.0,4461384456958,4461385113625,4461385122875,9250,138333,32042,607041,777416
169,1.0,4462390573125,4462391011833,4462391020958,9125,163375,38958,372042,574375
170,1.0,4463396575541,4463397321333,4463397330458,9125,161959,32500,671166,865625
171,1.0,4464399491125,4464400144208,4464400153708,9500,120000,25208,609708,754916
172,1.0,4465405584416,4465406412708,4465406434750,22042,154834,41541,877209,1073584
173,1.0,4466410206875,4466410732875,4466410740583,7708,88417,19791,513959,622167
174,1.0,4467416012708,4467416707833,4467416716583,8750,172875,33375,613750,820000
175,1.0,4468422077875,4468422598375,4468422606791,8416,67291,20625,550292,638208
