# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:40:39    815 mW   2927 mW      0 mW    648 mW   1266 mW   1635 mW     54 mW    258 mW      2 mW      2 mW      0 mW
  21:40:39    759 mW   3644 mW      0 mW    705 mW   1355 mW   1719 mW     84 mW    271 mW      2 mW      2 mW      0 mW
  21:40:40    111 mW   1605 mW      0 mW    397 mW    818 mW    791 mW     13 mW    301 mW      2 mW      2 mW      0 mW
  21:40:40    123 mW   1280 mW      0 mW    276 mW    688 mW    544 mW     11 mW    196 mW      2 mW      0 mW      0 mW
  21:40:41   1041 mW   4733 mW      0 mW    969 mW   1578 mW   1765 mW     65 mW    357 mW      2 mW      2 mW      0 mW
  21:40:41   1171 mW   3242 mW      0 mW    555 mW   1168 mW   1424 mW     95 mW    172 mW      2 mW      2 mW      0 mW
  21:40:42    737 mW   3147 mW      0 mW    621 mW   1237 mW   1427 mW     74 mW    331 mW      0 mW      2 mW      0 mW
  21:40:42     71 mW   1263 mW      0 mW    278 mW    628 mW    548 mW      6 mW    181 mW      2 mW      2 mW      0 mW
  21:40:43    211 mW   1843 mW      0 mW    591 mW    991 mW   1013 mW     17 mW    322 mW      2 mW      2 mW      0 mW
  21:40:43   1172 mW   1861 mW      0 mW    597 mW   1414 mW   1378 mW     70 mW    268 mW      2 mW      2 mW      0 mW
  21:40:43   1519 mW   2236 mW      0 mW    586 mW   1319 mW   1351 mW    102 mW    257 mW      2 mW      2 mW      0 mW
  21:40:44   1776 mW   2384 mW      0 mW    613 mW   1365 mW   1497 mW    118 mW    323 mW      2 mW      2 mW      0 mW
  21:40:44   1602 mW   2199 mW      0 mW    558 mW   1346 mW   1423 mW    110 mW    189 mW      2 mW      0 mW      0 mW
  21:40:45   1242 mW   2252 mW      0 mW    587 mW   1292 mW   1337 mW     97 mW    310 mW      2 mW      2 mW      0 mW
  21:40:45    120 mW   1384 mW      0 mW    303 mW    685 mW    643 mW     15 mW    170 mW      0 mW      2 mW      0 mW
  21:40:46    154 mW   1496 mW      0 mW    411 mW    768 mW    708 mW     16 mW    339 mW      2 mW      2 mW      0 mW
  21:40:46    749 mW   2921 mW      0 mW    566 mW   1179 mW   1531 mW     55 mW    213 mW      2 mW      2 mW      0 mW
  21:40:46    579 mW   3075 mW      0 mW    539 mW   1063 mW   1200 mW     57 mW    299 mW      2 mW      2 mW      0 mW
  21:40:47     85 mW   1576 mW      0 mW    421 mW    736 mW    738 mW     11 mW    265 mW      2 mW      2 mW      0 mW
  21:40:47    270 mW   1697 mW      0 mW    392 mW    916 mW    724 mW     19 mW    263 mW      2 mW      2 mW      0 mW
  21:40:48    962 mW   4420 mW      0 mW    782 mW   1480 mW   1853 mW     72 mW    335 mW      2 mW      2 mW      0 mW
  21:40:48    170 mW   1929 mW      0 mW    319 mW    759 mW    774 mW     26 mW    150 mW      2 mW      0 mW      0 mW
  21:40:49    146 mW   1503 mW      0 mW    432 mW    872 mW    807 mW     16 mW    344 mW      2 mW      2 mW      0 mW
  21:40:49   1112 mW   2842 mW      0 mW    558 mW   1043 mW   1475 mW     78 mW    188 mW      2 mW      2 mW      0 mW
  21:40:50    573 mW   3803 mW      0 mW    678 mW   1322 mW   1575 mW     64 mW    331 mW      0 mW      2 mW      0 mW
  21:40:50     88 mW   1388 mW      0 mW    327 mW    695 mW    691 mW     11 mW    210 mW      2 mW      2 mW      0 mW
  21:40:50    203 mW   1370 mW      0 mW    383 mW    807 mW    715 mW     14 mW    288 mW      2 mW      2 mW      0 mW
  21:40:51    829 mW   3604 mW      0 mW    636 mW   1284 mW   1607 mW     63 mW    285 mW      2 mW      2 mW      0 mW
  21:40:51    519 mW   3624 mW      0 mW    538 mW    945 mW   1037 mW     54 mW    216 mW      2 mW      2 mW      0 mW
  21:40:52    146 mW   1637 mW      0 mW    422 mW    772 mW    750 mW     15 mW    330 mW      2 mW      2 mW      0 mW
  21:40:52    512 mW   1917 mW      0 mW    405 mW    985 mW    999 mW     31 mW    222 mW      2 mW      0 mW      0 mW
  21:40:53   1053 mW   4294 mW      0 mW    767 mW   1462 mW   1842 mW     98 mW    330 mW      2 mW      2 mW      0 mW
  21:40:53    129 mW   1903 mW      0 mW    347 mW    736 mW    723 mW     17 mW    160 mW      0 mW      2 mW      0 mW
  21:40:54    169 mW   1532 mW      0 mW    428 mW    783 mW    734 mW     18 mW    338 mW      2 mW      2 mW      0 mW
  21:40:54    841 mW   2234 mW      0 mW    528 mW   1074 mW   1332 mW     55 mW    228 mW      2 mW      2 mW      0 mW
  21:40:54   1599 mW   3959 mW      0 mW    802 mW   1519 mW   1924 mW    116 mW    299 mW      2 mW      2 mW      0 mW
  21:40:55    158 mW   2021 mW      0 mW    413 mW    823 mW    864 mW     30 mW    275 mW      2 mW      2 mW      0 mW
  21:40:55    126 mW   1271 mW      0 mW    339 mW    763 mW    695 mW     11 mW    242 mW      2 mW      2 mW      0 mW
  21:40:56   1346 mW   2085 mW      0 mW    572 mW   1214 mW   1310 mW     72 mW    341 mW      2 mW      0 mW      0 mW
  21:40:56   1491 mW   2531 mW      0 mW    532 mW   1227 mW   1407 mW     89 mW    180 mW      2 mW      2 mW      0 mW
  21:40:57   1791 mW   2936 mW      0 mW    647 mW   1383 mW   1582 mW    105 mW    328 mW      0 mW      2 mW      0 mW
  21:40:57    368 mW   2209 mW      0 mW    367 mW    774 mW    822 mW     44 mW    194 mW      2 mW      2 mW      0 mW
  21:40:57    183 mW   1415 mW      0 mW    404 mW    841 mW    756 mW     16 mW    298 mW      2 mW      2 mW      0 mW
  21:40:58    831 mW   2004 mW      0 mW    470 mW   1001 mW    840 mW     45 mW    276 mW      2 mW      2 mW      0 mW
  21:40:58   2136 mW   1842 mW      0 mW    591 mW   1329 mW   1409 mW    106 mW    244 mW      2 mW      2 mW      0 mW
  21:40:59   2584 mW   2262 mW      0 mW    630 mW   1423 mW   1454 mW    122 mW    339 mW      2 mW      0 mW      0 mW
  21:40:59   2121 mW   1809 mW      0 mW    534 mW   1257 mW   1329 mW    109 mW    169 mW      2 mW      2 mW      0 mW
  21:41:00   2382 mW   2184 mW      0 mW    616 mW   1361 mW   1410 mW    117 mW    324 mW      2 mW      2 mW      0 mW
  21:41:00   2530 mW   1869 mW      0 mW    534 mW   1277 mW   1395 mW    116 mW    185 mW      0 mW      2 mW      0 mW
  21:41:01   1169 mW   2043 mW      0 mW    540 mW   1104 mW   1161 mW     80 mW    321 mW      2 mW      2 mW      0 mW
  21:41:01     94 mW   1414 mW      0 mW    367 mW    749 mW    715 mW      9 mW    260 mW      2 mW      2 mW      0 mW
  21:41:01    195 mW   1384 mW      0 mW    351 mW    776 mW    641 mW     16 mW    267 mW      2 mW      2 mW      0 mW
  21:41:02    908 mW   3950 mW      0 mW    739 mW   1414 mW   1760 mW     71 mW    329 mW      2 mW      2 mW      0 mW
  21:41:02    425 mW   2423 mW      0 mW    355 mW    782 mW    838 mW     45 mW    174 mW      2 mW      0 mW      0 mW
  21:41:03    171 mW   1782 mW      0 mW    533 mW    884 mW    774 mW     18 mW    322 mW      2 mW      2 mW      0 mW
  21:41:03    610 mW   4963 mW      0 mW    719 mW   1120 mW   1552 mW     43 mW    196 mW      2 mW      2 mW      0 mW
  21:41:04    999 mW   4423 mW      0 mW    780 mW   1448 mW   1778 mW     98 mW    317 mW      0 mW      2 mW      0 mW
  21:41:04     79 mW   1610 mW      0 mW    361 mW    786 mW    795 mW     11 mW    219 mW      2 mW      2 mW      0 mW
  21:41:04    193 mW   1411 mW      0 mW    423 mW    837 mW    699 mW     18 mW    280 mW      2 mW      2 mW      0 mW
  21:41:05    860 mW   3389 mW      0 mW    650 mW   1262 mW   1620 mW     64 mW    297 mW      2 mW      2 mW      0 mW
  21:41:05    483 mW   3054 mW      0 mW    519 mW   1033 mW   1278 mW     57 mW    217 mW      2 mW      2 mW      0 mW
  21:41:06    150 mW   1405 mW      0 mW    381 mW    688 mW    667 mW     17 mW    314 mW      2 mW      0 mW      0 mW
  21:41:06    179 mW   1379 mW      0 mW    299 mW    757 mW    621 mW     12 mW    205 mW      2 mW      2 mW      0 mW
  21:41:07   1002 mW   3941 mW      0 mW    748 mW   1411 mW   1818 mW     75 mW    329 mW      2 mW      2 mW      0 mW
