# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:38:32    424 mW   2436 mW      0 mW    609 mW   1042 mW   1394 mW     29 mW    255 mW      2 mW      2 mW      0 mW
  21:38:32    743 mW   4571 mW      0 mW    854 mW   1428 mW   1889 mW     76 mW    317 mW      2 mW      2 mW      0 mW
  21:38:33    197 mW   1994 mW      0 mW    501 mW    836 mW    962 mW     22 mW    285 mW      2 mW      2 mW      0 mW
  21:38:33    194 mW   1481 mW      0 mW    428 mW    719 mW    797 mW     18 mW    247 mW      2 mW      0 mW      0 mW
  21:38:34    907 mW   3428 mW      0 mW    791 mW   1249 mW   1675 mW     68 mW    351 mW      2 mW      2 mW      0 mW
  21:38:34    441 mW   3377 mW      0 mW    608 mW   1136 mW   1499 mW     46 mW    206 mW      2 mW      2 mW      0 mW
  21:38:35    236 mW   2239 mW      0 mW    676 mW    923 mW   1103 mW     21 mW    312 mW      2 mW      2 mW      0 mW
  21:38:35    176 mW   3251 mW      0 mW    632 mW    894 mW   1052 mW     13 mW    191 mW      0 mW      2 mW      0 mW
  21:38:35    891 mW   3917 mW      0 mW    863 mW   1447 mW   1889 mW     66 mW    352 mW      2 mW      2 mW      0 mW
  21:38:36    293 mW   2922 mW      0 mW    534 mW    931 mW   1192 mW     38 mW    258 mW      2 mW      2 mW      0 mW
  21:38:36    222 mW   1514 mW      0 mW    476 mW    782 mW    829 mW     16 mW    259 mW      2 mW      2 mW      0 mW
  21:38:37    613 mW   2518 mW      0 mW    800 mW   1267 mW   1420 mW     45 mW    341 mW      2 mW      2 mW      0 mW
  21:38:37    955 mW   3644 mW      0 mW    678 mW   1254 mW   1729 mW     82 mW    215 mW      2 mW      0 mW      0 mW
  21:38:38    439 mW   3174 mW      0 mW    685 mW   1129 mW   1256 mW     52 mW    322 mW      2 mW      2 mW      0 mW
  21:38:38    164 mW   1574 mW      0 mW    483 mW    777 mW    870 mW     13 mW    221 mW      2 mW      2 mW      0 mW
  21:38:39    389 mW   2407 mW      0 mW    690 mW   1042 mW   1078 mW     30 mW    346 mW      0 mW      2 mW      0 mW
  21:38:39    855 mW   2094 mW      0 mW    534 mW   1125 mW   1278 mW     53 mW    238 mW      2 mW      2 mW      0 mW
  21:38:39    968 mW   3471 mW      0 mW    849 mW   1460 mW   1887 mW     86 mW    324 mW      2 mW      2 mW      0 mW
  21:38:40    565 mW   2893 mW      0 mW    634 mW   1174 mW   1512 mW     63 mW    296 mW      2 mW      2 mW      0 mW
  21:38:40    161 mW   1416 mW      0 mW    347 mW    701 mW    686 mW     11 mW    199 mW      2 mW      0 mW      0 mW
  21:38:41    231 mW   1648 mW      0 mW    550 mW    857 mW   1005 mW     20 mW    327 mW      2 mW      2 mW      0 mW
  21:38:41   1158 mW   1767 mW      0 mW    519 mW   1136 mW   1196 mW     68 mW    194 mW      2 mW      2 mW      0 mW
  21:38:42   1251 mW   2133 mW      0 mW    656 mW   1317 mW   1443 mW     91 mW    327 mW      0 mW      2 mW      0 mW
  21:38:42   1301 mW   2289 mW      0 mW    652 mW   1366 mW   1485 mW     93 mW    230 mW      2 mW      2 mW      0 mW
  21:38:42   1236 mW   2030 mW      0 mW    638 mW   1290 mW   1417 mW     90 mW    310 mW      2 mW      2 mW      0 mW
  21:38:43   1101 mW   2032 mW      0 mW    605 mW   1294 mW   1308 mW     91 mW    280 mW      2 mW      2 mW      0 mW
  21:38:43    605 mW   1861 mW      0 mW    552 mW   1038 mW   1233 mW     58 mW    266 mW      2 mW      2 mW      0 mW
  21:38:44    168 mW   1514 mW      0 mW    435 mW    663 mW    679 mW     18 mW    335 mW      2 mW      0 mW      0 mW
  21:38:44    187 mW   1308 mW      0 mW    388 mW    719 mW    834 mW     11 mW    198 mW      2 mW      2 mW      0 mW
  21:38:45    798 mW   4369 mW      0 mW    867 mW   1466 mW   1917 mW     70 mW    346 mW      2 mW      2 mW      0 mW
  21:38:45    272 mW   5605 mW      0 mW    879 mW   1306 mW   1552 mW     25 mW    227 mW      0 mW      2 mW      0 mW
  21:38:46    195 mW   1675 mW      0 mW    475 mW    693 mW    723 mW     21 mW    313 mW      2 mW      2 mW      0 mW
  21:38:46    268 mW   1724 mW      0 mW    471 mW    828 mW   1050 mW     21 mW    272 mW      2 mW      2 mW      0 mW
  21:38:46    924 mW   4270 mW      0 mW    802 mW   1387 mW   1850 mW     68 mW    307 mW      2 mW      2 mW      0 mW
  21:38:47    240 mW   2252 mW      0 mW    531 mW    879 mW   1049 mW     37 mW    302 mW      2 mW      2 mW      0 mW
