# IOReport telemetry  interval=1000ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:29:37   1766 mW   3851 mW      0 mW    820 mW   1506 mW   1828 mW    129 mW    315 mW      2 mW      2 mW      0 mW
  21:29:38   1764 mW   4179 mW      0 mW    882 mW   1504 mW   1880 mW    130 mW    320 mW      2 mW      2 mW      0 mW
  21:29:40   1799 mW   3988 mW      0 mW    880 mW   1501 mW   1899 mW    132 mW    325 mW      2 mW      2 mW      0 mW
  21:29:41   1817 mW   3958 mW      0 mW    856 mW   1473 mW   1866 mW    132 mW    320 mW      2 mW      2 mW      0 mW
  21:29:42   1789 mW   4107 mW      0 mW    879 mW   1502 mW   1880 mW    132 mW    319 mW      2 mW      2 mW      0 mW
  21:29:43   1818 mW   3861 mW      0 mW    853 mW   1443 mW   1847 mW    131 mW    315 mW      2 mW      2 mW      0 mW
  21:29:45   1758 mW   3838 mW      0 mW    850 mW   1451 mW   1884 mW    128 mW    325 mW      2 mW      2 mW      0 mW
  21:29:46   1869 mW   3935 mW      0 mW    875 mW   1454 mW   1880 mW    135 mW    319 mW      2 mW      2 mW      0 mW
  21:29:47   1828 mW   3864 mW      0 mW    858 mW   1468 mW   1870 mW    131 mW    320 mW      2 mW      2 mW      0 mW
  21:29:48   1919 mW   3905 mW      0 mW    872 mW   1488 mW   1873 mW    137 mW    320 mW      2 mW      2 mW      0 mW
  21:29:49   1875 mW   3730 mW      0 mW   1417 mW   1795 mW   2164 mW    135 mW    326 mW      2 mW      2 mW      0 mW
  21:29:51   1912 mW   3813 mW      0 mW   1434 mW   1745 mW   2166 mW    135 mW    325 mW      2 mW      2 mW      0 mW
  21:29:52   2213 mW   4287 mW      0 mW    923 mW   1472 mW   1882 mW    154 mW    316 mW      2 mW      2 mW      0 mW
  21:29:53   1962 mW   4111 mW      0 mW    870 mW   1439 mW   1899 mW    142 mW    325 mW      2 mW      2 mW      0 mW
  21:29:54   2154 mW   4388 mW      0 mW    861 mW   1448 mW   1846 mW    155 mW    315 mW      2 mW      2 mW      0 mW
  21:29:56   2132 mW   3956 mW      0 mW    817 mW   1401 mW   1851 mW    146 mW    321 mW      2 mW      2 mW      0 mW
  21:29:57   1918 mW   3743 mW      0 mW    783 mW   1406 mW   1857 mW    139 mW    327 mW      2 mW      2 mW      0 mW
  21:29:58   1948 mW   3459 mW      0 mW    733 mW   1369 mW   1811 mW    139 mW    321 mW      2 mW      2 mW      0 mW
  21:29:59   1954 mW   3723 mW      0 mW    814 mW   1400 mW   1843 mW    139 mW    319 mW      2 mW      2 mW      0 mW
  21:30:00   1996 mW   3873 mW      0 mW    908 mW   1547 mW   1889 mW    140 mW    321 mW      3 mW      2 mW      0 mW
  21:30:02   1897 mW   3812 mW      0 mW    954 mW   1749 mW   1902 mW    134 mW    323 mW      4 mW      3 mW      0 mW
