# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:18:34    888 mW   2432 mW      0 mW    464 mW   1168 mW   1336 mW    140 mW     82 mW      2 mW      2 mW      0 mW
  15:18:35   1047 mW   2549 mW      0 mW    440 mW   1115 mW   1303 mW    154 mW    100 mW      2 mW      2 mW      0 mW
  15:18:35    850 mW   2318 mW      0 mW    463 mW   1164 mW   1331 mW    128 mW    108 mW      2 mW      2 mW      0 mW
  15:18:35   1002 mW   2584 mW      0 mW    483 mW   1203 mW   1376 mW    157 mW    113 mW      2 mW      2 mW      0 mW
  15:18:36   1091 mW   2832 mW      0 mW    521 mW   1207 mW   1358 mW    151 mW    114 mW      0 mW      2 mW      0 mW
  15:18:36    894 mW   2361 mW      0 mW    448 mW   1121 mW   1279 mW    123 mW     91 mW      2 mW      0 mW      0 mW
  15:18:37    532 mW   2244 mW      0 mW    384 mW    846 mW   1014 mW     93 mW    111 mW      2 mW      2 mW      0 mW
  15:18:37     64 mW   1360 mW      0 mW    252 mW    502 mW    582 mW      4 mW    109 mW      2 mW      2 mW      0 mW
  15:18:38    139 mW   1289 mW      0 mW    280 mW    612 mW    660 mW     13 mW    103 mW      2 mW      2 mW      0 mW
  15:18:38    903 mW   2204 mW      0 mW    450 mW   1133 mW   1227 mW    158 mW     89 mW      2 mW      2 mW      0 mW
  15:18:38   1098 mW   2593 mW      0 mW    484 mW   1176 mW   1529 mW    242 mW    104 mW      2 mW      2 mW      0 mW
  15:18:39   1155 mW   2667 mW      0 mW    484 mW   1138 mW   1453 mW    213 mW     99 mW      0 mW      2 mW      0 mW
  15:18:39   1028 mW   2445 mW      0 mW    434 mW   1118 mW   1332 mW    195 mW     99 mW      2 mW      2 mW      0 mW
  15:18:40   1046 mW   2633 mW      0 mW    491 mW   1198 mW   1414 mW    202 mW    100 mW      2 mW      0 mW      0 mW
  15:18:40    938 mW   3015 mW      0 mW    531 mW   1165 mW   1405 mW    185 mW    102 mW      2 mW      2 mW      0 mW
  15:18:41    904 mW   2487 mW      0 mW    455 mW   1145 mW   1392 mW    198 mW    107 mW      2 mW      2 mW      0 mW
  15:18:41    948 mW   2714 mW      0 mW    488 mW   1164 mW   1328 mW    176 mW    110 mW      2 mW      2 mW      0 mW
  15:18:41    945 mW   2413 mW      0 mW    480 mW   1119 mW   1344 mW    185 mW    106 mW      2 mW      2 mW      0 mW
  15:18:42   1118 mW   2592 mW      0 mW    551 mW   1245 mW   1526 mW    210 mW    184 mW      0 mW      2 mW      0 mW
  15:18:42   1023 mW   2512 mW      0 mW    463 mW   1099 mW   1330 mW    192 mW    135 mW      2 mW      2 mW      0 mW
  15:18:43    407 mW   1917 mW      0 mW    325 mW    753 mW    906 mW    100 mW     83 mW      2 mW      0 mW      0 mW
  15:18:43     51 mW   1387 mW      0 mW    289 mW    533 mW    670 mW      4 mW    124 mW      2 mW      2 mW      0 mW
  15:18:44    574 mW   1471 mW      0 mW    350 mW    778 mW   1036 mW     64 mW    123 mW      2 mW      2 mW      0 mW
  15:18:44   1477 mW   2690 mW      0 mW    521 mW   1126 mW   1683 mW    241 mW    115 mW      2 mW      2 mW      0 mW
  15:18:44   1427 mW   2595 mW      0 mW    474 mW   1041 mW   1580 mW    227 mW     90 mW      2 mW      2 mW      0 mW
  15:18:45   1512 mW   2626 mW      0 mW    497 mW   1095 mW   1648 mW    238 mW     99 mW      2 mW      2 mW      0 mW
  15:18:45   1638 mW   2928 mW      0 mW    543 mW   1188 mW   1765 mW    245 mW    108 mW      0 mW      2 mW      0 mW
  15:18:46   1677 mW   2803 mW      0 mW    530 mW   1140 mW   1694 mW    241 mW    116 mW      2 mW      0 mW      0 mW
  15:18:46   1444 mW   2568 mW      0 mW    473 mW   1057 mW   1597 mW    227 mW     99 mW      2 mW      2 mW      0 mW
  15:18:47   1524 mW   2744 mW      0 mW    492 mW   1104 mW   1659 mW    240 mW    102 mW      2 mW      2 mW      0 mW
  15:18:47   1626 mW   2946 mW      0 mW    589 mW   1198 mW   1801 mW    248 mW    106 mW      2 mW      2 mW      0 mW
  15:18:47   1435 mW   2781 mW      0 mW    509 mW   1112 mW   1665 mW    234 mW     96 mW      2 mW      2 mW      0 mW
  15:18:48   1547 mW   2822 mW      0 mW    515 mW   1113 mW   1673 mW    236 mW     95 mW      2 mW      2 mW      0 mW
  15:18:48   1290 mW   2642 mW      0 mW    516 mW   1080 mW   1636 mW    232 mW    102 mW      0 mW      2 mW      0 mW
  15:18:49    687 mW   2143 mW      0 mW    323 mW    702 mW    946 mW    120 mW    104 mW      2 mW      0 mW      0 mW
  15:18:49     46 mW   1224 mW      0 mW    248 mW    537 mW    646 mW      2 mW    111 mW      2 mW      2 mW      0 mW
  15:18:50     64 mW   1166 mW      0 mW    215 mW    487 mW    572 mW      4 mW    107 mW      2 mW      2 mW      0 mW
  15:18:50     51 mW   1307 mW      0 mW    264 mW    543 mW    636 mW      4 mW    114 mW      2 mW      2 mW      0 mW
  15:18:51     57 mW   1209 mW      0 mW    225 mW    498 mW    581 mW      4 mW    102 mW      2 mW      2 mW      0 mW
  15:18:51     74 mW   1313 mW      0 mW    272 mW    574 mW    613 mW      7 mW     98 mW      2 mW      2 mW      0 mW
  15:18:51     51 mW   1260 mW      0 mW    231 mW    522 mW    591 mW      2 mW    115 mW      2 mW      2 mW      0 mW
