# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:22:49    977 mW   3241 mW      0 mW    691 mW   1303 mW   1814 mW     81 mW    325 mW      2 mW      2 mW      0 mW
  22:22:50    720 mW   3183 mW      0 mW    684 mW   1280 mW   1784 mW     64 mW    317 mW      2 mW      0 mW      0 mW
  22:22:50    971 mW   3155 mW      0 mW    685 mW   1301 mW   1800 mW     80 mW    324 mW      2 mW      2 mW      0 mW
  22:22:50    765 mW   3297 mW      0 mW    727 mW   1329 mW   1810 mW     62 mW    319 mW      0 mW      2 mW      0 mW
  22:22:51    787 mW   3207 mW      0 mW    730 mW   1336 mW   1814 mW     69 mW    321 mW      2 mW      2 mW      0 mW
  22:22:51    805 mW   3128 mW      0 mW    698 mW   1302 mW   1798 mW     65 mW    319 mW      2 mW      2 mW      0 mW
  22:22:52    834 mW   3421 mW      0 mW    758 mW   1376 mW   1814 mW     66 mW    322 mW      2 mW      2 mW      0 mW
  22:22:52    955 mW   3434 mW      0 mW    764 mW   1399 mW   1842 mW     82 mW    321 mW      2 mW      0 mW      0 mW
  22:22:53   1092 mW   3390 mW      0 mW    744 mW   1337 mW   1814 mW     86 mW    322 mW      2 mW      2 mW      0 mW
  22:22:53    573 mW   2720 mW      0 mW    619 mW   1231 mW   1666 mW     50 mW    321 mW      0 mW      2 mW      0 mW
  22:22:53    396 mW   2309 mW      0 mW    524 mW   1006 mW   1256 mW     31 mW    317 mW      2 mW      2 mW      0 mW
  22:22:54    393 mW   2566 mW      0 mW    605 mW   1030 mW   1315 mW     30 mW    320 mW      2 mW      2 mW      0 mW
  22:22:54    396 mW   2415 mW      0 mW    570 mW    996 mW   1317 mW     31 mW    323 mW      2 mW      2 mW      0 mW
  22:22:55    380 mW   2393 mW      0 mW    530 mW    898 mW   1235 mW     27 mW    310 mW      2 mW      0 mW      0 mW
  22:22:55    409 mW   2220 mW      0 mW    529 mW    934 mW   1293 mW     30 mW    322 mW      2 mW      2 mW      0 mW
  22:22:56    386 mW   2355 mW      0 mW    541 mW    982 mW   1325 mW     30 mW    325 mW      2 mW      2 mW      0 mW
  22:22:56    396 mW   2080 mW      0 mW    486 mW    880 mW   1196 mW     29 mW    318 mW      0 mW      2 mW      0 mW
  22:22:56    392 mW   2272 mW      0 mW    516 mW    870 mW   1192 mW     30 mW    329 mW      2 mW      2 mW      0 mW
  22:22:57    383 mW   2350 mW      0 mW    540 mW    996 mW   1347 mW     31 mW    330 mW      2 mW      2 mW      0 mW
  22:22:57    394 mW   2324 mW      0 mW    524 mW    887 mW   1139 mW     29 mW    324 mW      2 mW      2 mW      0 mW
  22:22:58    389 mW   2478 mW      0 mW    545 mW    913 mW   1274 mW     29 mW    320 mW      2 mW      2 mW      0 mW
  22:22:58    387 mW   1990 mW      0 mW    461 mW    755 mW   1002 mW     30 mW    308 mW      2 mW      0 mW      0 mW
  22:22:59    379 mW   1817 mW      0 mW    473 mW    718 mW    878 mW     32 mW    317 mW      2 mW      2 mW      0 mW
