iso_ts,monotonic_ns,device_util_pct,renderer_util_pct,tiler_util_pct,in_use_system_memory_bytes,recovery_count,ioreg_subprocess_ms
2026-04-28T14:16:33.799649,13471846921000,0,0,0,1285226496,0,22.861
2026-04-28T14:16:33.899287,13471946890416,0,0,0,1285226496,0,22.522
2026-04-28T14:16:33.996052,13472045937750,0,0,0,1285226496,0,20.242
2026-04-28T14:16:34.097488,13472146923916,0,0,0,1285226496,0,20.695
2026-04-28T14:16:34.193912,13472246883250,0,0,0,1285226496,0,17.164
2026-04-28T14:16:34.297060,13472346913791,0,0,0,1285357568,0,20.276
2026-04-28T14:16:34.398465,13472446912666,0,0,0,1285357568,0,21.685
2026-04-28T14:16:34.499459,13472546882083,0,0,0,1285226496,0,22.695
2026-04-28T14:16:34.595752,13472642182458,0,0,0,1285275648,0,23.684
2026-04-28T14:16:34.700362,13472746939291,0,0,0,1285423104,0,23.548
2026-04-28T14:16:34.799770,13472846886958,0,0,0,1261273088,0,23.01
2026-04-28T14:16:34.901113,13472946922250,0,0,0,1261273088,0,24.305
2026-04-28T14:16:34.992373,13473042167750,0,0,0,1288880128,0,20.343
2026-04-28T14:16:35.098112,13473146870791,0,0,0,1424310272,0,21.371
2026-04-28T14:16:35.196047,13473246884500,0,0,0,1424310272,0,19.296
2026-04-28T14:16:35.297300,13473346881708,0,0,0,1424310272,0,20.549
2026-04-28T14:16:35.398302,13473446861375,0,0,0,1428242432,0,21.569
2026-04-28T14:16:35.498546,13473546870250,0,0,0,1428242432,0,21.795
2026-04-28T14:16:35.598700,13473646784625,0,0,0,1428439040,0,22.034
2026-04-28T14:16:35.698452,13473746866041,0,0,0,1428439040,0,21.706
2026-04-28T14:16:35.798307,13473846872375,0,0,0,1428242432,0,21.56
2026-04-28T14:16:35.898499,13473946865291,0,0,0,1428242432,0,21.765
2026-04-28T14:16:35.997298,13474046867416,0,0,0,1450000384,0,20.559
2026-04-28T14:16:36.094512,13474146860458,0,0,0,1450000384,0,17.784
2026-04-28T14:16:36.195453,13474245773416,0,0,0,1450000384,0,19.809
2026-04-28T14:16:36.298599,13474346877958,0,0,0,1449738240,0,21.851
2026-04-28T14:16:36.395336,13474442882791,0,0,0,1449738240,0,22.583
2026-04-28T14:16:36.500459,13474545934916,0,0,0,1449476096,0,24.651
2026-04-28T14:16:36.600353,13474646869875,0,0,0,1449934848,0,23.615
2026-04-28T14:16:36.699827,13474746862666,0,0,0,1449934848,0,23.068
2026-04-28T14:16:36.798611,13474846878791,0,0,0,1449738240,0,21.861
2026-04-28T14:16:36.897112,13474945940333,0,0,0,1449738240,0,21.298
2026-04-28T14:16:36.995527,13475044940041,0,0,0,1449738240,0,20.709
2026-04-28T14:16:37.095162,13475146879333,0,0,0,1449738240,0,18.413
2026-04-28T14:16:37.197353,13475246861041,0,0,0,1449738240,0,20.61
2026-04-28T14:16:37.298579,13475346865583,0,0,0,1426194432,0,21.83
2026-04-28T14:16:37.399069,13475446876708,0,0,0,1426194432,0,22.308
2026-04-28T14:16:37.501099,13475546877833,0,0,0,1655996416,0,24.343
2026-04-28T14:16:37.598914,13475646865666,0,0,0,1655947264,0,22.169
2026-04-28T14:16:37.700217,13475746886250,0,0,0,1655947264,0,23.45
2026-04-28T14:16:37.797006,13475845843375,0,0,0,1655701504,0,21.289
2026-04-28T14:16:37.898194,13475946867958,0,0,0,1655701504,0,21.448
2026-04-28T14:16:37.994735,13476045389083,0,0,0,1655701504,0,19.446
2026-04-28T14:16:38.096988,13476146870958,0,0,0,1655701504,0,20.239
2026-04-28T14:16:38.200102,13476246863125,0,0,0,1655701504,0,23.351
2026-04-28T14:16:38.300697,13476346879750,0,0,0,1655570432,0,23.939
2026-04-28T14:16:38.399613,13476446875375,0,0,0,1655570432,0,22.86
2026-04-28T14:16:38.495855,13476543048333,0,0,0,1426259968,0,22.932
2026-04-28T14:16:38.599567,13476646874916,0,0,0,1426259968,0,22.817
2026-04-28T14:16:38.699331,13476746880250,0,0,0,1426259968,0,22.576
2026-04-28T14:16:38.799236,13476846877916,0,0,0,1426063360,0,22.482
2026-04-28T14:16:38.898050,13476946860000,0,0,0,1426063360,0,21.308
2026-04-28T14:16:38.993639,13477046086166,0,0,0,1426063360,0,17.679
2026-04-28T14:16:39.096363,13477146861125,0,0,0,1426063360,0,19.616
2026-04-28T14:16:39.199528,13477246869375,0,0,0,1426063360,0,22.773
2026-04-28T14:16:39.296329,13477343047750,0,0,0,1426194432,0,23.402
2026-04-28T14:16:39.400619,13477446875833,0,0,0,1426194432,0,23.863
2026-04-28T14:16:39.498364,13477546862166,55,6,3,1450131456,0,21.616
2026-04-28T14:16:39.598714,13477646876708,0,0,0,1450131456,0,21.949
2026-04-28T14:16:39.698641,13477746885458,0,0,0,1450131456,0,21.874
2026-04-28T14:16:39.799304,13477846863166,0,0,0,1450131456,0,22.57
2026-04-28T14:16:39.897452,13477946865291,0,0,0,1450131456,0,20.706
2026-04-28T14:16:39.992454,13478044295666,0,0,0,1450131456,0,18.284
2026-04-28T14:16:40.094988,13478145217208,0,0,0,1450131456,0,19.895
2026-04-28T14:16:40.198373,13478246866291,52,5,2,1450131456,0,21.631
2026-04-28T14:16:40.298256,13478345927500,0,0,0,1450131456,0,22.435
2026-04-28T14:16:40.398825,13478446880291,0,0,0,1450328064,0,22.068
2026-04-28T14:16:40.499175,13478546871791,0,0,0,1426145280,0,22.428
2026-04-28T14:16:40.599487,13478646881416,0,0,0,1426145280,0,22.731
2026-04-28T14:16:40.699253,13478746870666,0,0,0,1426145280,0,22.504
2026-04-28T14:16:40.798120,13478846862958,0,0,0,1426145280,0,21.381
2026-04-28T14:16:40.894526,13478946864166,0,0,0,1426145280,0,17.785
2026-04-28T14:16:40.996084,13479045916500,0,0,0,1443725312,0,20.279
2026-04-28T14:16:41.092439,13479142375458,0,0,0,1443725312,0,20.182
2026-04-28T14:16:41.200392,13479246877791,0,0,0,1443725312,0,23.63
2026-04-28T14:16:41.296915,13479344541333,0,0,0,1443725312,0,22.483
2026-04-28T14:16:41.400093,13479446872291,0,0,0,1443954688,0,23.334
2026-04-28T14:16:41.498062,13479546863833,0,0,0,1469906944,0,21.32
2026-04-28T14:16:41.597767,13479645941250,0,0,0,1469906944,0,21.943
2026-04-28T14:16:41.697653,13479746887083,0,0,0,1469906944,0,20.887
2026-04-28T14:16:41.797395,13479845935958,0,0,0,1469906944,0,21.582
2026-04-28T14:16:41.895183,13479946856375,0,0,0,1469906944,0,18.444
2026-04-28T14:16:41.995798,13480046875541,0,0,0,1469906944,0,19.041
2026-04-28T14:16:42.097693,13480146871625,0,0,0,1452343296,0,20.941
2026-04-28T14:16:42.199500,13480246859625,0,0,0,1452343296,0,22.748
2026-04-28T14:16:42.297540,13480346866916,0,0,0,1452326912,0,20.793
2026-04-28T14:16:42.399294,13480446878875,0,0,0,1452277760,0,22.534
2026-04-28T14:16:42.499329,13480546873458,0,0,0,1657896960,0,22.578
2026-04-28T14:16:42.598273,13480646862458,0,0,0,1655504896,0,21.53
2026-04-28T14:16:42.699732,13480746872541,0,0,0,1655504896,0,22.976
2026-04-28T14:16:42.798467,13480846859833,0,0,0,1655504896,0,21.729
2026-04-28T14:16:42.897531,13480946870375,0,0,0,1655504896,0,20.781
2026-04-28T14:16:42.994833,13481043744625,0,0,0,1655504896,0,21.203
2026-04-28T14:16:43.097506,13481145485000,0,0,0,1655504896,0,22.137
2026-04-28T14:16:43.197050,13481244987166,0,0,0,1655504896,0,22.182
2026-04-28T14:16:43.297898,13481346864708,0,0,0,1655472128,0,21.146
2026-04-28T14:16:43.399082,13481446863041,0,0,0,1655472128,0,22.338
2026-04-28T14:16:43.494989,13481542423916,0,0,0,1655472128,0,22.674
2026-04-28T14:16:43.599556,13481646874083,0,0,0,1425670144,0,22.798
2026-04-28T14:16:43.694816,13481742848625,0,0,0,1425670144,0,22.079
2026-04-28T14:16:43.788770,13481842283250,0,0,0,1425670144,0,16.607
2026-04-28T14:16:43.897269,13481946873500,0,0,0,1425670144,0,20.513
2026-04-28T14:16:43.997182,13482046862125,0,0,0,1425670144,0,20.432
2026-04-28T14:16:44.093280,13482143267666,0,0,0,1425670144,0,20.128
2026-04-28T14:16:44.197405,13482246249416,0,0,0,1425670144,0,21.27
2026-04-28T14:16:44.295230,13482343351041,0,0,0,1426046976,0,21.996
