sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
72,spaced1s,3884648938833,3884648947750,8917,83958,17958,257250,359166
73,spaced1s,3885655706333,3885655715416,9083,141625,34167,817375,993167
74,spaced1s,3886657878541,3886657888333,9792,141916,30875,254709,427500
75,spaced1s,3887662355625,3887662364000,8375,122125,26667,602417,751209
76,spaced1s,3888667356916,3888667365875,8959,74625,16250,576125,667000
77,spaced1s,3889671381500,3889671390250,8750,138500,33959,716041,888500
78,spaced1s,3890676136541,3890676145708,9167,77833,18584,597500,693917
79,spaced1s,3891681784333,3891681793958,9625,118666,26875,269500,415041
80,spaced1s,3892687441666,3892687450666,9000,136959,37375,694666,869000
81,spaced1s,3893688909166,3893688918625,9459,88416,22084,269791,380291
82,spaced1s,3894694972083,3894694981000,8917,125375,28458,650792,804625
83,spaced1s,3895697053375,3895697062958,9583,79334,19250,706833,805417
84,spaced1s,3896699504375,3896699514166,9791,77000,21042,489333,587375
85,spaced1s,3897701488250,3897701497041,8791,147625,34042,611833,793500
86,spaced1s,3898706265375,3898706274791,9416,194250,36875,1093042,1324167
87,spaced1s,3899711432541,3899711442208,9667,79041,20209,608666,707916
88,spaced1s,3900715726875,3900715735375,8500,55583,14959,416541,487083
89,spaced1s,3901721913333,3901721922500,9167,158333,28833,770084,957250
90,spaced1s,3902727918708,3902727927458,8750,97959,25208,636375,759542
91,spaced1s,3903731669750,3903731678583,8833,139542,35917,331250,506709
92,spaced1s,3904737862083,3904737871291,9208,156500,37792,690458,884750
93,spaced1s,3905738875541,3905738884458,8917,80666,17750,685542,783958
94,spaced1s,3906744753208,3906744762291,9083,78542,19708,605167,703417
95,spaced1s,3907750538958,3907750547125,8167,52583,18958,499459,571000
96,spaced1s,3908751928625,3908751937791,9166,111458,43667,627375,782500
97,spaced1s,3909753775791,3909753785166,9375,139625,39542,693667,872834
98,spaced1s,3910759598583,3910759607875,9292,134084,35916,665834,835834
99,spaced1s,3911762200500,3911762209583,9083,78250,19458,640917,738625
