# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  16:54:42    752 mW   2206 mW      0 mW    469 mW    800 mW   1073 mW     65 mW    480 mW      4 mW      4 mW      0 mW
  16:54:43     59 mW   1031 mW      0 mW    318 mW    547 mW    639 mW      4 mW    459 mW      4 mW      4 mW      0 mW
  16:54:43   1055 mW   2043 mW      0 mW    538 mW   1046 mW   1387 mW     60 mW    522 mW      2 mW      5 mW      0 mW
  16:54:44   2641 mW   3546 mW      0 mW    661 mW   1256 mW   1804 mW    179 mW    460 mW      4 mW      4 mW      0 mW
  16:54:44     63 mW   1504 mW      0 mW    372 mW    634 mW    810 mW     15 mW    473 mW      4 mW      4 mW      0 mW
  16:54:44     52 mW   1071 mW      0 mW    327 mW    563 mW    645 mW      4 mW    486 mW      4 mW      2 mW      0 mW
  16:54:45   1821 mW   2652 mW      0 mW    585 mW   1109 mW   1537 mW    114 mW    462 mW      4 mW      4 mW      0 mW
  16:54:45   1721 mW   3152 mW      0 mW    621 mW   1157 mW   1647 mW    140 mW    504 mW      2 mW      5 mW      0 mW
  16:54:46     33 mW   1184 mW      0 mW    369 mW    603 mW    723 mW      4 mW    466 mW      4 mW      4 mW      0 mW
  16:54:46     96 mW   1034 mW      0 mW    305 mW    538 mW    590 mW      2 mW    489 mW      4 mW      4 mW      0 mW
  16:54:47   1893 mW   2958 mW      0 mW    617 mW   1227 mW   1654 mW    149 mW    464 mW      4 mW      2 mW      0 mW
  16:54:47   1511 mW   2779 mW      0 mW    545 mW    969 mW   1370 mW    151 mW    470 mW      4 mW      4 mW      0 mW
  16:54:48     71 mW   1045 mW      0 mW    334 mW    569 mW    660 mW      4 mW    472 mW      4 mW      4 mW      0 mW
  16:54:48    306 mW   1025 mW      0 mW    301 mW    592 mW    570 mW     20 mW    490 mW      2 mW      4 mW      0 mW
  16:54:49   4046 mW   3099 mW      0 mW    673 mW   1349 mW   1800 mW    417 mW    504 mW      5 mW      5 mW      0 mW
  16:54:49   2306 mW   2770 mW      0 mW    583 mW   1132 mW   1570 mW    314 mW    451 mW      4 mW      4 mW      0 mW
  16:54:50     46 mW   1116 mW      0 mW    345 mW    628 mW    702 mW      2 mW    490 mW      4 mW      2 mW      0 mW
  16:54:50    110 mW   1014 mW      0 mW    286 mW    539 mW    556 mW      0 mW    465 mW      4 mW      4 mW      0 mW
  16:54:50   3312 mW   2101 mW      0 mW    593 mW   1298 mW   1510 mW    391 mW    475 mW      4 mW      4 mW      0 mW
  16:54:51   6493 mW   3364 mW      0 mW    779 mW   1571 mW   2024 mW    839 mW    511 mW      2 mW      5 mW      0 mW
  16:54:51   1145 mW   1860 mW      0 mW    393 mW    709 mW    873 mW    226 mW    461 mW      4 mW      4 mW      0 mW
  16:54:52     56 mW   1040 mW      0 mW    313 mW    540 mW    626 mW      4 mW    460 mW      4 mW      2 mW      0 mW
  16:54:52   1262 mW   2050 mW      0 mW    527 mW   1047 mW   1316 mW     83 mW    498 mW      4 mW      4 mW      0 mW
  16:54:53   2676 mW   3685 mW      0 mW    688 mW   1373 mW   1894 mW    218 mW    483 mW      4 mW      4 mW      0 mW
  16:54:53     67 mW   1460 mW      0 mW    359 mW    647 mW    801 mW     19 mW    452 mW      2 mW      4 mW      0 mW
  16:54:54     31 mW    968 mW      0 mW    299 mW    541 mW    574 mW      2 mW    475 mW      4 mW      4 mW      0 mW
  16:54:54   1691 mW   2770 mW      0 mW    614 mW   1215 mW   1637 mW    124 mW    519 mW      5 mW      5 mW      0 mW
  16:54:55   1614 mW   3149 mW      0 mW    647 mW   1204 mW   1632 mW    151 mW    458 mW      4 mW      4 mW      0 mW
  16:54:55     56 mW   1112 mW      0 mW    330 mW    556 mW    573 mW      4 mW    469 mW      4 mW      2 mW      0 mW
  16:54:55    114 mW   1033 mW      0 mW    330 mW    630 mW    672 mW      4 mW    495 mW      4 mW      4 mW      0 mW
  16:54:56   1917 mW   3086 mW      0 mW    657 mW   1336 mW   1800 mW    150 mW    473 mW      4 mW      4 mW      0 mW
  16:54:56    895 mW   2467 mW      0 mW    467 mW    887 mW   1180 mW    109 mW    467 mW      2 mW      4 mW      0 mW
  16:54:57     24 mW   1052 mW      0 mW    305 mW    555 mW    593 mW      2 mW    485 mW      4 mW      4 mW      0 mW
  16:54:57    803 mW   1347 mW      0 mW    380 mW    752 mW    789 mW     56 mW    496 mW      4 mW      4 mW      0 mW
  16:54:58   3236 mW   3475 mW      0 mW    647 mW   1349 mW   1858 mW    298 mW    474 mW      4 mW      4 mW      0 mW
  16:54:58    688 mW   2111 mW      0 mW    407 mW    760 mW    971 mW     91 mW    454 mW      4 mW      2 mW      0 mW
  16:54:59     30 mW    972 mW      0 mW    307 mW    542 mW    630 mW      2 mW    483 mW      4 mW      4 mW      0 mW
  16:54:59   2651 mW   2608 mW      0 mW    510 mW   1048 mW   1218 mW    226 mW    505 mW      4 mW      4 mW      0 mW
  16:55:00   5773 mW   4115 mW      0 mW    763 mW   1436 mW   1907 mW    600 mW    473 mW      2 mW      4 mW      0 mW
  16:55:00   1507 mW   3532 mW      0 mW    539 mW    896 mW   1110 mW    210 mW    470 mW      4 mW      4 mW      0 mW
  16:55:01     60 mW   1052 mW      0 mW    339 mW    600 mW    659 mW      4 mW    480 mW      4 mW      4 mW      0 mW
  16:55:01   6215 mW   1721 mW      0 mW    578 mW   1212 mW   1424 mW    648 mW    548 mW      5 mW      5 mW      0 mW
  16:55:01  10546 mW   2408 mW      0 mW    620 mW   1349 mW   1737 mW   1277 mW    455 mW      4 mW      2 mW      0 mW
  16:55:02  11357 mW   2594 mW      0 mW    709 mW   1438 mW   1827 mW   1372 mW    474 mW      4 mW      4 mW      0 mW
  16:55:02   2629 mW   1775 mW      0 mW    387 mW    727 mW    848 mW    438 mW    463 mW      2 mW      4 mW      0 mW
  16:55:03     52 mW   1064 mW      0 mW    328 mW    578 mW    641 mW      4 mW    491 mW      4 mW      4 mW      0 mW
  16:55:03  13699 mW   1355 mW      0 mW    567 mW   1149 mW   1319 mW   1636 mW    489 mW      5 mW      5 mW      0 mW
  16:55:04  29857 mW   2279 mW      0 mW   1064 mW   1730 mW   2105 mW   4040 mW    494 mW      5 mW      2 mW      0 mW
  16:55:04  28100 mW   2212 mW      0 mW   1136 mW   1633 mW   2027 mW   3756 mW    454 mW      4 mW      4 mW      0 mW
  16:55:05  30308 mW   2319 mW      0 mW   1230 mW   1771 mW   2204 mW   4073 mW    497 mW      2 mW      5 mW      0 mW
  16:55:05  29129 mW   2239 mW      0 mW   1179 mW   1703 mW   2116 mW   3898 mW    477 mW      5 mW      5 mW      0 mW
  16:55:06    562 mW   1498 mW      0 mW    380 mW    639 mW    760 mW    366 mW    420 mW      4 mW      2 mW      0 mW
  16:55:06     77 mW   1150 mW      0 mW    409 mW    711 mW    809 mW      5 mW    523 mW      5 mW      5 mW      0 mW
  16:55:06   9663 mW   1727 mW      0 mW   6191 mW   2927 mW   4523 mW   1682 mW    488 mW      2 mW      5 mW      0 mW
  16:55:07  14660 mW   2441 mW      0 mW   9861 mW   4076 mW   6393 mW   2972 mW    480 mW      5 mW      5 mW      0 mW
  16:55:07  13820 mW   2430 mW      0 mW   9428 mW   3883 mW   6105 mW   2843 mW    455 mW      4 mW      2 mW      0 mW
  16:55:08  14607 mW   2123 mW      0 mW   9495 mW   3930 mW   6208 mW   2868 mW    478 mW      5 mW      5 mW      0 mW
  16:55:08   4817 mW   1705 mW      0 mW   4061 mW   1866 mW   2803 mW   1180 mW    469 mW      2 mW      4 mW      0 mW
  16:55:09     18 mW    974 mW      0 mW    292 mW    520 mW    563 mW      2 mW    469 mW      4 mW      4 mW      0 mW
  16:55:09   4260 mW   2297 mW      0 mW   4573 mW   2346 mW   3471 mW   1134 mW    555 mW      5 mW      5 mW      0 mW
  16:55:09  10703 mW   1890 mW      0 mW  11191 mW   4695 mW   7512 mW   3312 mW    455 mW      5 mW      2 mW      0 mW
  16:55:10  11558 mW   2058 mW      0 mW  12116 mW   5080 mW   8125 mW   3588 mW    494 mW      5 mW      5 mW      0 mW
  16:55:10  10784 mW   1875 mW      0 mW  11344 mW   4747 mW   7608 mW   3366 mW    457 mW      2 mW      4 mW      0 mW
  16:55:11  11333 mW   2004 mW      0 mW  11789 mW   4939 mW   7892 mW   3491 mW    478 mW      4 mW      4 mW      0 mW
  16:55:11  11267 mW   1947 mW      0 mW  11735 mW   4913 mW   7868 mW   3482 mW    478 mW      4 mW      2 mW      0 mW
  16:55:12   4766 mW   1687 mW      0 mW   5872 mW   2600 mW   4045 mW   1701 mW    455 mW      4 mW      4 mW      0 mW
  16:55:12     44 mW   1076 mW      0 mW    358 mW    615 mW    723 mW      4 mW    501 mW      4 mW      4 mW      0 mW
  16:55:13   2597 mW   1261 mW      0 mW   3471 mW   1891 mW   2840 mW    797 mW    502 mW      2 mW      5 mW      0 mW
