# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:57:44  40335 mW   2406 mW      0 mW   1710 mW   2423 mW   2339 mW   5315 mW    342 mW      5 mW      5 mW      0 mW
  06:57:44  41188 mW   2450 mW      0 mW   1698 mW   2440 mW   2358 mW   5401 mW    315 mW      5 mW      5 mW      0 mW
  06:57:44  40036 mW   2344 mW      0 mW   1635 mW   2372 mW   2293 mW   5270 mW    300 mW      2 mW      5 mW      0 mW
  06:57:45  41557 mW   2364 mW      0 mW   1731 mW   2448 mW   2355 mW   5371 mW    346 mW      5 mW      2 mW      0 mW
  06:57:45  37564 mW   3086 mW      0 mW   2011 mW   2542 mW   2521 mW   5226 mW    352 mW      5 mW      5 mW      0 mW
  06:57:46    737 mW   2316 mW      0 mW    903 mW   1153 mW   1283 mW    110 mW    337 mW      2 mW      4 mW      0 mW
  06:57:46    336 mW   1941 mW      0 mW    638 mW    785 mW    981 mW     38 mW    284 mW      5 mW      5 mW      0 mW
  06:57:47  37277 mW   2200 mW      0 mW   2732 mW   2349 mW   2590 mW   4329 mW    344 mW      5 mW      2 mW      0 mW
  06:57:47  49842 mW   2931 mW      0 mW   3735 mW   3165 mW   3426 mW   6469 mW    351 mW      5 mW      5 mW      0 mW
  06:57:48  47979 mW   2275 mW      0 mW   3469 mW   2932 mW   3215 mW   6154 mW    333 mW      2 mW      5 mW      0 mW
  06:57:48  47929 mW   2003 mW      0 mW   3418 mW   2969 mW   3243 mW   6356 mW    310 mW      5 mW      5 mW      0 mW
  06:57:48  50130 mW   2267 mW      0 mW   3665 mW   3059 mW   3364 mW   6368 mW    353 mW      5 mW      2 mW      0 mW
  06:57:49  49662 mW   2309 mW      0 mW   3640 mW   3055 mW   3349 mW   6348 mW    345 mW      5 mW      5 mW      0 mW
  06:57:49  43860 mW   2297 mW      0 mW   3557 mW   2964 mW   3264 mW   6061 mW    340 mW      2 mW      5 mW      0 mW
  06:57:50  40627 mW   2051 mW      0 mW   3334 mW   2912 mW   3213 mW   6204 mW    216 mW      5 mW      2 mW      0 mW
  06:57:50  37549 mW   3044 mW      0 mW   3547 mW   3051 mW   3312 mW   6043 mW    352 mW      5 mW      5 mW      0 mW
  06:57:51  27498 mW   3730 mW      0 mW   3327 mW   2902 mW   3005 mW   5297 mW    335 mW      4 mW      4 mW      0 mW
  06:57:51  28189 mW   2043 mW      0 mW   3188 mW   2769 mW   2983 mW   5513 mW    346 mW      2 mW      4 mW      0 mW
  06:57:51  19323 mW   2022 mW      0 mW   2633 mW   2354 mW   2577 mW   4166 mW    330 mW      4 mW      4 mW      0 mW
  06:57:52    844 mW   1695 mW      0 mW    795 mW   1081 mW   1199 mW    123 mW    334 mW      4 mW      2 mW      0 mW
  06:57:52    624 mW   1831 mW      0 mW    771 mW    857 mW    908 mW     58 mW    328 mW      4 mW      4 mW      0 mW
  06:57:53   1980 mW   4498 mW      0 mW   1222 mW   1500 mW   2027 mW    147 mW    364 mW      5 mW      5 mW      0 mW
  06:57:53   1098 mW   4053 mW      0 mW   1008 mW   1390 mW   1794 mW    110 mW    340 mW      2 mW      4 mW      0 mW
  06:57:54    716 mW   2048 mW      0 mW    981 mW   1140 mW   1351 mW     65 mW    334 mW      4 mW      4 mW      0 mW
  06:57:54    615 mW   1872 mW      0 mW    778 mW    945 mW   1042 mW     59 mW    352 mW      5 mW      2 mW      0 mW
  06:57:55   1741 mW   4259 mW      0 mW   1030 mW   1409 mW   1941 mW    133 mW    346 mW      5 mW      5 mW      0 mW
  06:57:55    600 mW   3053 mW      0 mW    691 mW   1086 mW   1429 mW     64 mW    208 mW      4 mW      4 mW      0 mW
  06:57:56    633 mW   3333 mW      0 mW    957 mW   1111 mW   1245 mW     56 mW    338 mW      2 mW      4 mW      0 mW
  06:57:56    814 mW   2153 mW      0 mW    910 mW   1101 mW   1226 mW     72 mW    353 mW      5 mW      2 mW      0 mW
  06:57:56   1810 mW   5062 mW      0 mW   1079 mW   1493 mW   2027 mW    130 mW    351 mW      5 mW      5 mW      0 mW
  06:57:57    691 mW   3470 mW      0 mW    768 mW   1133 mW   1434 mW     85 mW    319 mW      4 mW      4 mW      0 mW
  06:57:57    526 mW   2024 mW      0 mW    765 mW    998 mW    951 mW     51 mW    356 mW      4 mW      4 mW      0 mW
  06:57:58    699 mW   2595 mW      0 mW    827 mW    913 mW   1179 mW     67 mW    357 mW      2 mW      5 mW      0 mW
  06:57:58   1384 mW   6053 mW      0 mW   1287 mW   1660 mW   2152 mW    124 mW    347 mW      5 mW      2 mW      0 mW
  06:57:59    642 mW   3282 mW      0 mW    861 mW   1134 mW   1394 mW     74 mW    271 mW      4 mW      4 mW      0 mW
  06:57:59    778 mW   3739 mW      0 mW   1219 mW   1356 mW   1618 mW     71 mW    336 mW      4 mW      4 mW      0 mW
  06:58:00   1212 mW   3523 mW      0 mW   1322 mW   1471 mW   1904 mW    105 mW    375 mW      2 mW      5 mW      0 mW
  06:58:00   2141 mW   7280 mW      0 mW   1296 mW   1685 mW   2122 mW    200 mW    343 mW      5 mW      2 mW      0 mW
  06:58:00    559 mW   3865 mW      0 mW    870 mW   1175 mW   1424 mW     87 mW    316 mW      4 mW      4 mW      0 mW
  06:58:01    571 mW   1972 mW      0 mW    699 mW    845 mW    911 mW     50 mW    301 mW      4 mW      4 mW      0 mW
  06:58:01    923 mW   2970 mW      0 mW   1113 mW   1311 mW   1819 mW     89 mW    367 mW      2 mW      5 mW      0 mW
  06:58:02   3029 mW   5027 mW      0 mW   1265 mW   1644 mW   2125 mW    321 mW    349 mW      5 mW      5 mW      0 mW
  06:58:02   1968 mW   4580 mW      0 mW   1052 mW   1535 mW   2030 mW    299 mW    303 mW      5 mW      2 mW      0 mW
  06:58:03    515 mW   1997 mW      0 mW    651 mW    914 mW   1030 mW     46 mW    272 mW      4 mW      4 mW      0 mW
  06:58:03    551 mW   1834 mW      0 mW    697 mW    830 mW    908 mW     58 mW    349 mW      2 mW      4 mW      0 mW
  06:58:03   4903 mW   3814 mW      0 mW   1000 mW   1381 mW   1748 mW    544 mW    351 mW      5 mW      5 mW      0 mW
  06:58:04   4037 mW   3962 mW      0 mW    968 mW   1581 mW   1986 mW    585 mW    306 mW      5 mW      2 mW      0 mW
