attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,measured,81,28253,26390706989583,26390707045916,26390707052250,6334,8667,2708,91792,103167
0,measured,82,28253,26390710674666,26390710724875,26390710731000,6125,6042,1916,94167,102125
0,measured,83,28253,26390714441791,26390714496333,26390714503250,6917,6333,1917,106292,114542
1,calibration,0,28258,26397851810041,26397862581916,26397862592083,10167,1925458,111708,8894584,10931750
1,calibration,1,28258,26397863023000,26397863335750,26397863354416,18666,58625,16750,393209,468584
1,calibration,2,28258,26397863540500,26397863637666,26397863653083,15417,22166,7209,176000,205375
1,calibration,3,28258,26397863774250,26397864232041,26397864242625,10584,24042,5833,560625,590500
1,calibration,4,28258,26397864388000,26397864822416,26397864832250,9834,15916,6375,570292,592583
1,calibration,5,28258,26397865011916,26397865350833,26397865360750,9917,13792,8958,467750,490500
1,calibration,6,28258,26397865552166,26397865915958,26397865925500,9542,28917,9375,469333,507625
1,calibration,7,28258,26397866114041,26397866544291,26397866553041,8750,30000,10125,492375,532500
1,calibration,8,28258,26397866679166,26397867074166,26397867083208,9042,19000,6708,472833,498541
1,calibration,9,28258,26397867200750,26397867596708,26397867605291,8583,14667,6417,471875,492959
1,measured,0,28258,26397874522250,26397874925916,26397874934958,9042,13583,4459,487875,505917
1,measured,1,28258,26397879990416,26397880098916,26397880105458,6542,12625,3917,182417,198959
1,measured,2,28258,26397884970583,26397885051583,26397885058041,6458,12083,3875,132959,148917
1,measured,3,28258,26397890012333,26397890134458,26397890141625,7167,12041,3875,191042,206958
1,measured,4,28258,26397894969458,26397895045291,26397895051541,6250,10458,3458,126667,140583
1,measured,5,28258,26397899819583,26397899891000,26397899897375,6375,9250,3042,120125,132417
1,measured,6,28258,26397904510333,26397904623416,26397904630250,6834,11834,3375,195500,210709
1,measured,7,28258,26397909346500,26397909415375,26397909421583,6208,9167,3000,121375,133542
1,measured,8,28258,26397914084125,26397914149875,26397914159000,9125,9708,3417,138833,151958
1,measured,9,28258,26397918741625,26397918808000,26397918814375,6375,7792,2625,118417,128834
1,measured,10,28258,26397923404416,26397923487458,26397923494416,6958,8791,2834,161416,173041
1,measured,11,28258,26397927924791,26397928001583,26397928008125,6542,8792,3000,129417,141209
1,measured,12,28258,26397932532541,26397932607375,26397932613500,6125,8541,2584,134416,145541
1,measured,13,28258,26397937005083,26397937084458,26397937090916,6458,7625,2459,157083,167167
1,measured,14,28258,26397941552250,26397941627208,26397941633541,6333,7625,2417,130208,140250
1,measured,15,28258,26397945899708,26397945973083,26397945979541,6458,7000,2417,145208,154625
1,measured,16,28258,26397950717375,26397950779250,26397950785458,6208,7000,2292,124083,133375
1,measured,17,28258,26397955499708,26397955565833,26397955572166,6333,8667,2375,113375,124417
1,measured,18,28258,26397960272666,26397960339125,26397960345416,6291,8792,2250,104958,116000
1,measured,19,28258,26397964817708,26397964893666,26397964899875,6209,8792,2375,129042,140209
