axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,86,5589843523083,5589843592541,5589843598916,6375,7625,2500,150000,160125
write_tid_threadcount,32,0,87,5589843881208,5589843960833,5589843967125,6292,7541,2417,123500,133458
write_tid_threadcount,32,0,88,5589844165250,5589844278458,5589844285083,6625,7500,2625,197125,207250
write_tid_threadcount,32,0,89,5589844549541,5589844618250,5589844624500,6250,8333,2625,122292,133250
write_tid_threadcount,32,0,90,5589844825708,5589844930000,5589844936875,6875,8500,2250,186042,196792
write_tid_threadcount,32,0,91,5589845206583,5589845278791,5589845284875,6084,8375,2750,115750,126875
write_tid_threadcount,32,0,92,5589845503875,5589845607458,5589845614125,6667,8709,2500,180750,191959
write_tid_threadcount,32,0,93,5589845850625,5589846080875,5589846087000,6125,8500,2333,303792,314625
write_tid_threadcount,32,0,94,5589846353500,5589846428000,5589846434500,6500,10458,3375,167750,181583
write_tid_threadcount,32,0,95,5589846730458,5589846835208,5589846841458,6250,8792,2917,174875,186584
write_tid_threadcount,32,0,96,5589847119541,5589847206708,5589847213166,6458,8791,2500,140542,151833
write_tid_threadcount,32,0,97,5589847414208,5589847483541,5589847489791,6250,8875,2500,122084,133459
write_tid_threadcount,32,0,98,5589847753291,5589847873750,5589847880208,6458,18375,2959,161250,182584
write_tid_threadcount,32,0,99,5589848080791,5589848152208,5589848158625,6417,8375,2333,145625,156333
write_tid_threadcount,32,0,100,5589848436625,5589848515833,5589848522208,6375,8542,2708,126125,137375
write_tid_threadcount,32,0,101,5589848727583,5589848833125,5589848839750,6625,8959,2541,181375,192875
write_tid_threadcount,32,0,102,5589849098291,5589849169416,5589849175791,6375,8417,2625,117792,128834
write_tid_threadcount,32,0,103,5589849369958,5589849472333,5589849478958,6625,8375,2584,186250,197209
write_tid_threadcount,32,0,104,5589849750083,5589849821416,5589849827750,6334,8459,2750,117750,128959
write_tid_threadcount,32,0,105,5589850043708,5589850150208,5589850156875,6667,8584,2958,180042,191584
write_tid_threadcount,32,0,106,5589850382125,5589850453833,5589850460083,6250,8375,2708,181584,192667
write_tid_threadcount,32,0,107,5589850781333,5589850888875,5589850895333,6458,11625,2667,184042,198334
write_tid_threadcount,32,0,108,5589851148500,5589851220375,5589851226875,6500,8750,2750,117042,128542
write_tid_threadcount,32,0,109,5589851422333,5589851526875,5589851533375,6500,10292,2958,173875,187125
write_tid_threadcount,32,0,110,5589851802000,5589851871916,5589851878333,6417,8417,2625,112916,123958
write_tid_threadcount,32,0,111,5589852093416,5589852199041,5589852205541,6500,8625,2875,174083,185583
write_tid_threadcount,32,0,112,5589852423291,5589852494333,5589852500541,6208,8375,2666,115167,126208
write_tid_threadcount,32,0,113,5589852753875,5589852858541,5589852865041,6500,8833,3000,165875,177708
write_tid_threadcount,32,0,114,5589853081708,5589853152208,5589853158541,6333,8000,2625,143084,153709
write_tid_threadcount,32,0,115,5589853430416,5589853505625,5589853511750,6125,8084,2625,116250,126959
write_tid_threadcount,32,0,116,5589853688791,5589853798291,5589853805125,6834,6750,2500,185916,195166
write_tid_threadcount,32,0,117,5589854071333,5589854137833,5589854144041,6208,6500,2250,114625,123375
write_tid_threadcount,32,0,118,5589854503625,5589854609500,5589854616208,6708,9083,3042,179583,191708
write_tid_threadcount,32,0,119,5589854895666,5589855000333,5589855006666,6333,8750,2708,169542,181000
write_tid_threadcount,32,0,120,5589855244625,5589855315000,5589855321458,6458,8292,2875,112583,123750
write_tid_threadcount,32,0,121,5589855516125,5589855621500,5589855628041,6541,9666,3542,171875,185083
write_tid_threadcount,32,0,122,5589855883375,5589855954416,5589855960791,6375,9000,3125,112333,124458
write_tid_threadcount,32,0,123,5589856162541,5589856266416,5589856272833,6417,8541,3375,169167,181083
write_tid_threadcount,32,0,124,5589856497041,5589856564666,5589856571000,6334,6792,2417,145875,155084
write_tid_threadcount,32,0,125,5589856854125,5589856918083,5589856935375,17292,6667,2542,128541,137750
write_tid_threadcount,32,0,126,5589857137666,5589857238708,5589857245000,6292,6708,2375,145542,154625
